problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N500_ERp0p02,lambda_pSA,search,4,90,,,,0.7671353531628513,0.0,1.0,fixed,0.6157221604801291,0.6372847416997267,0.0,0.6206149172105224,0.8573458387375872,exponential,7.955972978374212,0.2054886505474199,best_state,94,0,100,,,,,,,,1771.6666666666667,0.7252985694041825,1.0,0.01,-0.7146244992170668,231676,,0.7145244992170668,,,
maxcut,N500_ERp0p02,lambda_pSA,search,155,91,,,,2.7856149770043617,0.0,1.0,fixed,0.19114550625656213,0.7834044444420741,0.0,1.0630976566812795,2.641586138416541,exponential,1.1498046619592694,0.7354627098923685,best_state,1649,707,3000,,,,,,,,1772.0,0.7254446244822579,1.0,0.013333333333333334,-0.7145128805947404,1427445,,0.7143795472614071,,,
maxcut,N500_ERp0p02,lambda_pSA,search,110,92,,,,1.7902982333276762,0.0,1.0,fixed,0.2520283664044237,0.5733696449154063,0.0,0.13622916298070561,7.192495779864307,linear,0.3103165000903573,0.5156412396393463,last,829,159,1000,,,,,,,,1772.6666666666667,0.7257075605868625,1.0,0.013333333333333334,-0.7144978449221551,1071090,,0.7143645115888217,,,
maxcut,N500_ERp0p02,lambda_pSA,search,187,93,,,,2.835640986477257,0.0,1.0,fixed,0.18790475315382904,0.6696282196348456,0.0,0.33562542447807187,1.9812719888479804,cosine,0.7633526658008575,0.8016649510770268,best_state,210,5,300,,,,,,,,1771.6666666666667,0.7252865153663963,1.0,0.01,-0.7144934099412519,1680853,,0.7143934099412519,,,
maxcut,N500_ERp0p02,lambda_pSA,search,197,94,,,,3.3612978359929366,0.0,1.0,fixed,0.513087108048211,0.09493101733394897,0.0,0.7335780875193028,8.542283379659144,cosine,0.9197882306006422,0.4885309774097961,last,431,1214,3000,,,,,,,,1772.3333333333333,0.7255869375201959,1.0,0.013333333333333334,-0.7144695476910344,1760043,,0.7143362143577011,,,
maxcut,N500_ERp0p02,lambda_pSA,search,64,95,,,,7.330666350321487,0.0,1.0,fixed,0.33772134442664004,0.4044377229966923,0.0,0.6458914911083595,2.89388390127878,constant,1.1014059539693095,0.2971986504171753,last,770,104,1000,,,,,,,,1768.3333333333333,0.7239409064853488,1.0,0.016666666666666666,-0.7143242235311031,706816,,0.7141575568644365,,,
maxcut,N500_ERp0p02,lambda_pSA,search,253,96,,,,0.11308309242405361,0.0,1.0,fixed,0.09638812356878501,0.9073798238851561,0.0,0.4879597595154268,2.608185940763598,exponential,0.4594356010666971,0.25775032314376606,last,37,36,100,,,,,,,,1769.6666666666667,0.7244847266256919,1.0,0.013333333333333334,-0.7142925386156863,2203507,,0.714159205282353,,,
maxcut,N500_ERp0p02,lambda_pSA,search,175,97,,,,7.7212968231847965,0.0,1.0,fixed,0.5609722788640397,0.12451152915525172,0.0,0.05139205288160538,8.450446903293413,linear,0.2539297135510095,0.028864591891333193,best_state,650,146,1000,,,,,,,,1768.6666666666667,0.7240728213202482,1.0,0.013333333333333334,-0.7142635326225607,1585825,,0.7141301992892274,,,
maxcut,N500_ERp0p02,lambda_pSA,search,13,98,,,,4.4163824515284835,0.0,1.0,fixed,0.28791956894065307,0.6352601197429462,0.0,0.2071375053742011,0.2930306911432064,linear,5.981493618815606,0.24084712707444828,best_state,1118,934,3000,,,,,,,,1772.3333333333333,0.7255765064932471,1.0,0.01,-0.7141692388695049,302947,,0.7140692388695049,,,
maxcut,N500_ERp0p02,lambda_pSA,search,195,99,,,,0.4425024559902192,0.0,1.0,fixed,0.3330053463906233,0.6283810067303714,0.0,1.6214522920008694,2.28949038793219,cosine,2.5033496460697373,0.6595859054916503,last,2162,664,3000,,,,,,,,1770.3333333333333,0.7247684919602836,1.0,0.01,-0.7141650188617682,1744205,,0.7140650188617682,,,
maxcut,N500_ERp0p02,lambda_pSA,search,208,100,,,,6.713116265151334,0.0,1.0,fixed,0.8598133989337711,0.32914953317088386,0.0,0.37252696994616663,4.614584703776262,linear,0.33269242931905985,0.05762203087254771,last,1439,547,3000,,,,,,,,1768.0,0.7238019379408165,1.0,0.016666666666666666,-0.714162382157087,1847152,,0.7139957154904204,,,
maxcut,N500_ERp0p02,lambda_pSA,search,231,101,,,,3.4100138295863704,0.0,1.0,fixed,0.7035347526677562,0.18356653897176423,0.0,0.6081048900717454,5.13061320624302,piecewise,0.886313029502915,0.7065606794750019,best_state,2382,170,3000,,,,,,,,1775.0,0.7266741474302397,1.0,0.01,-0.7141189481294324,2029289,,0.7140189481294325,,,
maxcut,N500_ERp0p02,lambda_pSA,search,160,102,,,,1.5347735152819704,0.0,1.0,fixed,0.6169991686002922,0.7242826239835861,0.0,1.1943078185996694,3.870615881761173,piecewise,1.962158464399627,0.38015217703982473,best_state,2752,141,3000,,,,,,,,1774.6666666666667,0.7265214033653532,1.0,0.01,-0.7140878384107261,1467040,,0.7139878384107261,,,
maxcut,N500_ERp0p02,lambda_pSA,search,244,103,,,,0.10662191361596764,0.0,1.0,fixed,0.5582369687674442,0.31700411492994385,0.0,1.16727152913236,4.842225677208685,cosine,1.0704126261891869,0.8542008766757575,best_state,95,1,100,,,,,,,,1769.0,0.7242197043156974,1.0,0.013333333333333334,-0.7140783301319442,2132236,,0.7139449967986109,,,
