size,EbNo_dB,metric,contrast,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,unit
N192_M96,2.5,BER,additive_minus_binary,-0.49455156250000004,0.0009081718194939774,0.00028718914563802744,-0.49520118434743327,-0.4939019406525668,10,paired seed-batch mean
N192_M96,3.0,BER,binary_minus_additive,0.4990765625,0.0007620521241432596,0.00024098204080620902,0.49853146112369634,0.49962166387630363,10,paired seed-batch mean
N192_M96,3.0,BER,additive_minus_binary,-0.4990765625,0.0007620521241432596,0.00024098204080620902,-0.49962166387630363,-0.49853146112369634,10,paired seed-batch mean
N192_M96,pooled,BER,binary_minus_additive,0.4923276041666666,0.000894857847233018,0.0002829788979331341,0.49168750589954185,0.49296770243379134,10,paired seed-batch mean
N192_M96,pooled,BER,additive_minus_binary,-0.4923276041666666,0.000894857847233018,0.0002829788979331341,-0.49296770243379134,-0.49168750589954185,10,paired seed-batch mean
N192_M96,2.0,FER,binary_minus_additive,0.8743000000000001,0.010011659869039374,0.0031659648345067496,0.8671385875443458,0.8814614124556543,10,paired seed-batch mean
N192_M96,2.0,FER,additive_minus_binary,-0.8743000000000001,0.010011659869039374,0.0031659648345067496,-0.8814614124556543,-0.8671385875443458,10,paired seed-batch mean
N192_M96,2.5,FER,binary_minus_additive,0.9571,0.005665686189686122,0.001791647286716893,0.9530472938374464,0.9611527061625535,10,paired seed-batch mean
N192_M96,2.5,FER,additive_minus_binary,-0.9571,0.005665686189686122,0.001791647286716893,-0.9611527061625535,-0.9530472938374464,10,paired seed-batch mean
N192_M96,3.0,FER,binary_minus_additive,0.9887,0.004217687623436439,0.0013337499349161713,0.9856830576472196,0.9917169423527804,10,paired seed-batch mean
N192_M96,3.0,FER,additive_minus_binary,-0.9887,0.004217687623436439,0.0013337499349161713,-0.9917169423527804,-0.9856830576472196,10,paired seed-batch mean
N192_M96,pooled,FER,binary_minus_additive,0.9400333333333333,0.0028908113261603315,0.0009141548076478542,0.9379655151584338,0.9421011515082327,10,paired seed-batch mean
N192_M96,pooled,FER,additive_minus_binary,-0.9400333333333333,0.0028908113261603315,0.0009141548076478542,-0.9421011515082327,-0.9379655151584338,10,paired seed-batch mean
N288_M144,2.0,BER,binary_minus_additive,0.025407986111111114,0.0018102586317036045,0.0005724540430163286,0.02411309506580818,0.026702877156414048,10,paired seed-batch mean
N288_M144,2.0,BER,additive_minus_binary,-0.025407986111111114,0.0018102586317036045,0.0005724540430163286,-0.026702877156414048,-0.02411309506580818,10,paired seed-batch mean
N288_M144,2.5,BER,binary_minus_additive,0.00886736111111111,0.0015208366804743594,0.0004809307859428702,0.007779495673308338,0.009955226548913882,10,paired seed-batch mean
N288_M144,2.5,BER,additive_minus_binary,-0.00886736111111111,0.0015208366804743594,0.0004809307859428702,-0.009955226548913882,-0.007779495673308338,10,paired seed-batch mean
N288_M144,3.0,BER,binary_minus_additive,0.0015041666666666667,0.0007200577430263362,0.00022770225148034464,0.0009891041738181272,0.002019229159515206,10,paired seed-batch mean
N288_M144,3.0,BER,additive_minus_binary,-0.0015041666666666667,0.0007200577430263362,0.00022770225148034464,-0.002019229159515206,-0.0009891041738181272,10,paired seed-batch mean
