size,method,coefficient,seed,EbNo_dB,BER,FER,syndrome_violation_rate,n_trials,source
N288_M144,matched_pSA,0.0,20308958,3.0,0.31685416666666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20316980,2.0,0.32712152777777775,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20316980,2.5,0.3220208333333333,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20316980,3.0,0.3172465277777778,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20325002,2.0,0.3284097222222222,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20325002,2.5,0.32105208333333335,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20325002,3.0,0.3163402777777778,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20333024,2.0,0.3266423611111111,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20333024,2.5,0.32316319444444447,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20333024,3.0,0.31800347222222225,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20260826,2.0,0.01917013888888889,0.171,0.166,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20260826,2.5,0.003045138888888889,0.038,0.034,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20260826,3.0,0.00047222222222222224,0.007,0.007,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20268848,2.0,0.01639583333333333,0.159,0.158,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20268848,2.5,0.004413194444444444,0.05,0.049,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20268848,3.0,0.0005868055555555556,0.008,0.007,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20276870,2.0,0.018913194444444444,0.167,0.164,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20276870,2.5,0.003892361111111111,0.04,0.04,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20276870,3.0,0.0006631944444444444,0.008,0.008,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20284892,2.0,0.019072916666666665,0.169,0.166,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20284892,2.5,0.004260416666666667,0.047,0.046,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20284892,3.0,0.0002534722222222222,0.003,0.003,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20292914,2.0,0.019368055555555555,0.17,0.169,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20292914,2.5,0.004986111111111111,0.048,0.046,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20292914,3.0,0.0006388888888888889,0.008,0.007,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20300936,2.0,0.01670486111111111,0.16,0.159,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20300936,2.5,0.003395833333333333,0.038,0.037,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20300936,3.0,0.0009479166666666667,0.013,0.012,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20308958,2.0,0.018725694444444444,0.173,0.172,1000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,20308958,2.5,0.005170138888888889,0.055,0.054,1000,existing high-stat matched-control confirmation
