stage,size,variant,implementation_mode,kappa,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
sweep,N288_M144,binary_state,binary_state_self_feedback,0.5,2.0,0.15164409722222222,0.7735,0.7735,10.9095,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.5,2.5,0.09426388888888888,0.5155,0.515,7.118,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.5,3.0,0.043034722222222224,0.2435,0.2425,3.325,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.75,2.0,0.045189236111111114,0.309,0.305,1.8095,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.75,2.5,0.01164236111111111,0.085,0.0825,0.492,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.75,3.0,0.0012482638888888888,0.009,0.0085,0.0415,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.9,2.0,0.3565052083333333,0.791,0.0965,0.3785,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.9,2.5,0.3449513888888889,0.715,0.0305,0.119,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.9,3.0,0.3407135416666667,0.686,0.004,0.0125,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.95,2.0,0.5005659722222222,1.0,0.0,0.0,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.95,2.5,0.4998958333333333,1.0,0.0,0.0,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.95,3.0,0.49994444444444447,1.0,0.0,0.0,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.0,2.0,0.5005659722222222,1.0,0.0,0.0,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.0,2.5,0.4998958333333333,1.0,0.0,0.0,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.0,3.0,0.49994444444444447,1.0,0.0,0.0,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.1,2.0,0.5005659722222222,1.0,0.0,0.0,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.1,2.5,0.4998958333333333,1.0,0.0,0.0,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.1,3.0,0.49994444444444447,1.0,0.0,0.0,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.25,2.0,0.5005659722222222,1.0,0.0,0.0,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.25,2.5,0.4998958333333333,1.0,0.0,0.0,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,1.25,3.0,0.49994444444444447,1.0,0.0,0.0,0.0005909722222222222,0.0102,2000,576000
