stage,size,variant,implementation_mode,kappa,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20300936,2.5,0.5015,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20300936,3.0,0.5044166666666666,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20308958,2.0,0.50525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20308958,2.5,0.5025833333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20308958,3.0,0.5036666666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20316980,2.0,0.495,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20316980,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20316980,3.0,0.50075,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20300936,2.5,0.5015,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20300936,3.0,0.5044166666666666,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20308958,2.0,0.50525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20308958,2.5,0.5025833333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20308958,3.0,0.5036666666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20316980,2.0,0.495,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20316980,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,20316980,3.0,0.50075,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20300936,2.5,0.5015,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20300936,3.0,0.5044166666666666,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20308958,2.0,0.50525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20308958,2.5,0.5025833333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20308958,3.0,0.5036666666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20316980,2.0,0.495,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20316980,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,20316980,3.0,0.50075,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
