stage,size,variant,implementation_mode,kappa,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20300936,3.0,0.5011666666666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,2.0,0.5020833333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,2.5,0.50090625,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,3.0,0.5008020833333333,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,2.0,0.4988854166666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,2.5,0.4996041666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,3.0,0.5003229166666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,2.0,0.4973020833333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,2.5,0.5000104166666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,3.0,0.49966666666666665,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,2.0,0.4996875,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,2.5,0.49909375,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,3.0,0.5005833333333334,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,2.0,0.04306597222222222,0.296,0.293,1.799,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,2.5,0.010961805555555556,0.079,0.077,0.455,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,3.0,0.0016145833333333333,0.012,0.011,0.067,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20268848,2.0,0.041555555555555554,0.279,0.276,1.67,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20268848,2.5,0.011423611111111112,0.084,0.084,0.504,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20268848,3.0,0.0023819444444444443,0.016,0.015,0.074,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20276870,2.0,0.04413541666666667,0.291,0.287,1.703,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20276870,2.5,0.012482638888888889,0.095,0.094,0.557,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20276870,3.0,0.0032395833333333335,0.019,0.016,0.103,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20284892,2.0,0.04237152777777778,0.296,0.296,1.719,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20284892,2.5,0.01128125,0.087,0.083,0.479,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20284892,3.0,0.0008958333333333333,0.007,0.007,0.042,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20292914,2.0,0.04846875,0.323,0.32,1.923,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20292914,2.5,0.01417361111111111,0.1,0.099,0.58,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20292914,3.0,0.0011006944444444445,0.007,0.007,0.045,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20300936,2.0,0.04161458333333334,0.284,0.281,1.671,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20300936,2.5,0.014548611111111111,0.104,0.1,0.58,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20300936,3.0,0.002395833333333333,0.014,0.013,0.08,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20308958,2.0,0.04192361111111111,0.285,0.284,1.676,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20308958,2.5,0.014010416666666666,0.104,0.098,0.563,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20308958,3.0,0.0016284722222222221,0.016,0.012,0.077,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20316980,2.0,0.043534722222222225,0.294,0.291,1.762,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20316980,2.5,0.012802083333333334,0.096,0.092,0.517,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20316980,3.0,0.00190625,0.012,0.011,0.071,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20325002,2.0,0.04575347222222222,0.31,0.307,1.843,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20325002,2.5,0.012409722222222223,0.084,0.08,0.484,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20325002,3.0,0.0035,0.024,0.021,0.122,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20333024,2.0,0.043631944444444445,0.288,0.286,1.726,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20333024,2.5,0.014961805555555556,0.106,0.104,0.651,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20333024,3.0,0.001920138888888889,0.009,0.006,0.035,0.0005909722222222222,0.0102,1000,288000
