size,code_id,scope,EbNo_dB,metric,difference_definition,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,ci_excludes_zero_in_additive_direction
N192_M96,C06,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25931249999999995,0.003529031792647737,0.0011159778399913907,0.256787982735677,0.2618370172643229,10,1
N192_M96,C06,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.984,0.01074967699773141,0.0033993463423951926,0.9763101443225288,0.9916898556774711,10,1
N192_M96,C06,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9890000000000001,0.00875595035770914,0.0027688746209726944,0.9827363704431218,0.9952636295568784,10,1
N192_M96,C06,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27449305555555553,0.003400186403044079,0.0010752333502754567,0.2720607087304903,0.27692540238062074,10,1
N192_M96,C06,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9390000000000001,0.015559523303498052,0.0049203532945521185,0.9278693875509563,0.9501306124490438,10,1
N192_M96,C06,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9513333333333331,0.012292725943057184,0.0038873012632302003,0.9425396469365451,0.9601270197301212,10,1
N192_M96,C07,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.28624479166666666,0.006135056562877531,0.0019400752312657018,0.2818560365857831,0.2906335467475502,10,1
N192_M96,C07,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8800000000000001,0.025385910352879716,0.00802772971919487,0.8618400137142668,0.8981599862857335,10,1
N192_M96,C07,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.89,0.029439202887759496,0.00930949336251263,0.8689404629074494,0.9110595370925506,10,1
N192_M96,C07,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27925520833333334,0.0034916168411653088,0.001104146193468474,0.27675745611294056,0.2817529605537261,10,1
N192_M96,C07,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9530000000000001,0.023118054512532932,0.0073105707331537675,0.9364623400514447,0.9695376599485555,10,1
N192_M96,C07,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.961,0.0191195071996,0.006046119049072357,0.9473227284856723,0.9746772715143276,10,1
N192_M96,C07,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25967708333333334,0.0036196813365813045,0.0011446437427599478,0.2570877192917328,0.2622664473749339,10,1
N192_M96,C07,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.99,0.009428090415820642,0.002981423969999722,0.9832555504107602,0.9967444495892398,10,1
N192_M96,C07,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.993,0.006749485577105535,0.0021343747458109513,0.9881717088805488,0.9978282911194511,10,1
N192_M96,C07,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27505902777777774,0.0025789182411255674,0.0008155255541312111,0.2732141808040093,0.2769038747515462,10,1
N192_M96,C07,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9410000000000001,0.011444983806060524,0.0036192216610894065,0.9328127517954099,0.9491872482045902,10,1
N192_M96,C07,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9480000000000001,0.013259052346823398,0.004192880503136275,0.938515045336839,0.9574849546631611,10,1
N192_M96,C08,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.28594791666666663,0.0061220408101021005,0.0019359592888425,0.28156847249441763,0.29032736083891564,10,1
N192_M96,C08,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.893,0.024517567397911052,0.0077531355664086695,0.8754611888438698,0.9105388111561302,10,1
N192_M96,C08,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9019999999999999,0.018737959096740253,0.005925462944877056,0.8885956715560197,0.9154043284439801,10,1
N192_M96,C08,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.2796041666666667,0.00353111513726958,0.0011166366514069991,0.2770781590673809,0.2821301742659525,10,1
N192_M96,C08,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.958,0.022997584414213783,0.007272474743090475,0.9415485191682423,0.9744514808317576,10,1
N192_M96,C08,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9650000000000001,0.0177951304200522,0.005627314338711382,0.9522701305610526,0.9777298694389476,10,1
N192_M96,C08,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25944270833333327,0.005142351146925602,0.0016261542152664072,0.255764091927363,0.26312132473930355,10,1
N192_M96,C08,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9890000000000001,0.009944289260117542,0.0031446603773522042,0.9818862840026293,0.9961137159973709,10,1
N192_M96,C08,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.99,0.008164965809277266,0.002581988897471613,0.9841591353211748,0.9958408646788252,10,1
N192_M96,C08,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27499826388888887,0.0028045876594456356,0.0008868884901448856,0.27299198273825476,0.277004545039523,10,1
N192_M96,C08,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9466666666666667,0.013877773329774239,0.0043885372573625615,0.9367391056754718,0.9565942276578615,10,1
N192_M96,C08,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9523333333333334,0.009944289260117532,0.003144660377352201,0.9452196173359626,0.9594470493307041,10,1
N192_M96,C09,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.28828645833333333,0.004688814759032559,0.0014827334165156444,0.28493228231455936,0.2916406343521073,10,1
N192_M96,C09,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.877,0.02710063549890382,0.008569973421454968,0.8576133732391864,0.8963866267608136,10,1
N192_M96,C09,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.89,0.025385910352879716,0.00802772971919487,0.8718400137142666,0.9081599862857335,10,1
N192_M96,C09,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27739583333333334,0.007942096401746172,0.002511511402614559,0.27171439982431905,0.28307726684234763,10,1
N192_M96,C09,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.96,0.01763834207376395,0.005577733510227174,0.9473822901873482,0.9726177098126517,10,1
