size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20260826,10,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3482149719488359,0.37566959866735955,0.301396484375,0.31847900390625,0.31784613715277776,0.4283740234375,0.42740668402777776,0.19037299262152776,0.1902875434027778,0.1396736188505015,0.13946119290922743
N192_M96,pSA,pSA,0.0,20260826,11,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32806954396490734,0.3463653747908779,0.31121853298611113,0.3343117947048611,0.332021484375,0.4324506293402778,0.43193359375,0.1948806423611111,0.19417426215277778,0.14638540249374202,0.1453452672958529
N192_M96,pSA,pSA,0.0,20260826,12,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3267407082990719,0.36408096782552996,0.31111870659722224,0.3308352322048611,0.3278439670138889,0.43279459635416667,0.43154730902777777,0.19510579427083333,0.19405164930555555,0.14579082827056064,0.14433981605996374
N192_M96,pSA,pSA,0.0,20260826,13,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3207499457058587,0.35570816426060353,0.3140592447916667,0.33388970269097223,0.333056640625,0.4329953342013889,0.43402560763888887,0.19547010633680556,0.19545138888888888,0.14673294228222467,0.1465254266242144
N192_M96,pSA,pSA,0.0,20260826,14,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3520389604210611,0.4025057853396387,0.29929144965277776,0.30966796875,0.31024631076388887,0.42624131944444443,0.4283355034722222,0.1886593967013889,0.18983072916666666,0.13665137852608283,0.13760420091525333
N192_M96,pSA,pSA,0.0,20260826,15,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3331985988067653,0.3702148672217595,0.3079470486111111,0.3270621744791667,0.32583984375,0.4309895833333333,0.4314019097222222,0.19322157118055555,0.19365885416666667,0.14357488888584324,0.1436251203126358
N192_M96,pSA,pSA,0.0,20260826,16,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.31243067035617866,0.3645343712166807,0.31821397569444443,0.33532470703125,0.33258897569444446,0.4351047092013889,0.43397569444444445,0.19789089626736112,0.19674913194444443,0.1488727223457431,0.14739727452746446
N192_M96,pSA,pSA,0.0,20260826,17,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3180695989879947,0.3431627531651972,0.31522786458333335,0.3398581271701389,0.3381814236111111,0.4350135633680556,0.4342447916666667,0.19709933810763888,0.19599175347222222,0.14929495745418744,0.14806945059269097
N192_M96,pSA,pSA,0.0,20260826,18,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3343762966002483,0.3740651531993064,0.3070518663194444,0.3244707573784722,0.32263346354166667,0.4304638671875,0.4301540798611111,0.19281901041666666,0.19247612847222223,0.1427267532653185,0.14208596504436333
N192_M96,pSA,pSA,0.0,20260826,19,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.31827260973624494,0.36475380123691614,0.314345703125,0.33322862413194443,0.332568359375,0.43344618055555556,0.4343728298611111,0.19597222222222221,0.19648871527777778,0.1469658518486575,0.14719648579181047
