size,control,reference,metric,contrast_definition,mean_difference,ci95_low,ci95_high,seed_batch_sd,n_seed_batches,n_paired_trajectories
N192_M96,shuffled,additive,correct_return_probability,control_minus_additive,-0.9549999999999998,-0.986315971963201,-0.9236840280367987,0.04377975178854565,10,200
N192_M96,shuffled,additive,late_backflip_rate,control_minus_additive,0.20366151228033483,0.20329648467544062,0.20402653988522904,0.0005103088595498349,10,200
N192_M96,shuffled,additive,late_channel_alignment,control_minus_additive,-0.5018684327179819,-0.5053733281265229,-0.49836353730944083,0.004899846353517293,10,200
N192_M96,shuffled,additive,late_state_BER,control_minus_additive,0.3920925455729166,0.38787882460527556,0.3963062665405577,0.005890785005373313,10,200
N192_M96,shuffled,additive,late_syndrome_weight_fraction,control_minus_additive,0.47817161458333335,0.47542221653749545,0.48092101262917125,0.003843660485969831,10,200
N288_M144,gain_only,additive,correct_escape_count,control_minus_additive,-0.07500000000000001,-0.1136310043876677,-0.036368995612332325,0.05400617248673217,10,200
N288_M144,gain_only,additive,correct_escape_probability,control_minus_additive,0.959950765110548,0.9159898762789138,1.0039116539421822,0.06145735485120354,10,200
N288_M144,gain_only,additive,correct_residence_fraction,control_minus_additive,-0.9020021484375,-0.9446839194807035,-0.8593203773942966,0.05966914724418394,10,200
N288_M144,gain_only,additive,correct_return_probability,control_minus_additive,-0.96,-1.0039653772871335,-0.9160346227128664,0.06146362971528593,10,200
N288_M144,gain_only,additive,late_backflip_rate,control_minus_additive,0.17433631299989194,0.1740544796202893,0.17461814637949458,0.00039400327153278386,10,200
N288_M144,gain_only,additive,late_channel_alignment,control_minus_additive,-0.4113607612644545,-0.41333463975967455,-0.4093868827692344,0.0027594835850226055,10,200
N288_M144,gain_only,additive,late_state_BER,control_minus_additive,0.33575856933593745,0.33165643920599136,0.33986069946588354,0.0057347809323749785,10,200
N288_M144,gain_only,additive,late_syndrome_weight_fraction,control_minus_additive,0.4487957411024306,0.4467320223825662,0.450859459822295,0.0028850802850125647,10,200
N288_M144,pSA,additive,correct_escape_count,control_minus_additive,-0.07500000000000001,-0.1136310043876677,-0.036368995612332325,0.05400617248673217,10,200
N288_M144,pSA,additive,correct_escape_probability,control_minus_additive,0.959950765110548,0.9159898762789138,1.0039116539421822,0.06145735485120354,10,200
N288_M144,pSA,additive,correct_residence_fraction,control_minus_additive,-0.9020021484375,-0.9446839194807035,-0.8593203773942966,0.05966914724418394,10,200
N288_M144,pSA,additive,correct_return_probability,control_minus_additive,-0.96,-1.0039653772871335,-0.9160346227128664,0.06146362971528593,10,200
N288_M144,pSA,additive,late_backflip_rate,control_minus_additive,0.17495963814198096,0.1746652704160898,0.1752540058678721,0.00041152629684354145,10,200
N288_M144,pSA,additive,late_channel_alignment,control_minus_additive,-0.41153241977920096,-0.4135704987222338,-0.40949434083616815,0.0028492358581840385,10,200
N288_M144,pSA,additive,late_state_BER,control_minus_additive,0.3358645670572917,0.3317064123273553,0.34002272178722803,0.005813103364279943,10,200
N288_M144,pSA,additive,late_syndrome_weight_fraction,control_minus_additive,0.44992725694444446,0.44779341226820035,0.4520611016206886,0.002983116423499556,10,200
N288_M144,shuffled,additive,correct_escape_count,control_minus_additive,-0.07500000000000001,-0.1136310043876677,-0.036368995612332325,0.05400617248673217,10,200
N288_M144,shuffled,additive,correct_escape_probability,control_minus_additive,0.959950765110548,0.9159898762789138,1.0039116539421822,0.06145735485120354,10,200
N288_M144,shuffled,additive,correct_residence_fraction,control_minus_additive,-0.9020021484375,-0.9446839194807035,-0.8593203773942966,0.05966914724418394,10,200
N288_M144,shuffled,additive,correct_return_probability,control_minus_additive,-0.96,-1.0039653772871335,-0.9160346227128664,0.06146362971528593,10,200
