size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.5,20308958,2.0,0.033791666666666664,0.336,0.164,2.308,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20308958,2.5,0.014458333333333333,0.196,0.056,0.82,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20308958,3.0,0.008291666666666666,0.152,0.016,0.188,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20316980,2.0,0.03475,0.324,0.156,2.28,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20316980,2.5,0.025916666666666668,0.244,0.084,1.088,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20316980,3.0,0.00975,0.16,0.016,0.16,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20260826,2.0,0.02875,0.304,0.136,1.768,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20260826,2.5,0.014083333333333333,0.196,0.048,0.528,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20260826,3.0,0.007916666666666667,0.14,0.032,0.24,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20268848,2.0,0.030916666666666665,0.3,0.136,1.664,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20268848,2.5,0.014375,0.22,0.056,0.66,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20268848,3.0,0.006166666666666667,0.128,0.012,0.104,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20276870,2.0,0.022166666666666668,0.22,0.096,1.208,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20276870,2.5,0.014,0.2,0.064,0.512,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20276870,3.0,0.006958333333333334,0.136,0.024,0.22,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.8,20284892,2.0,0.03183333333333333,0.296,0.144,1.792,0.025252083333333335,0.26,250,24000
