size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,2.0,0.32896875,1.0,1.0,25.978,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,2.5,0.31486197916666664,1.0,1.0,25.5965,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,3.0,0.3024375,1.0,1.0,25.324,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.0,2.0,0.3306848958333333,1.0,1.0,26.0605,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.0,2.5,0.3162994791666667,1.0,1.0,25.7965,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.0,3.0,0.3026510416666667,1.0,1.0,25.481,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.1,2.0,0.33180729166666667,1.0,1.0,26.342,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.1,2.5,0.318125,1.0,1.0,26.102,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.1,3.0,0.30484635416666667,1.0,1.0,25.7355,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.25,2.0,0.3350546875,1.0,1.0,26.7215,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.25,2.5,0.32307552083333335,1.0,1.0,26.4805,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.25,3.0,0.3076302083333333,1.0,1.0,26.257,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.4,2.0,0.33693229166666666,1.0,1.0,27.003,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.4,2.5,0.32269791666666664,1.0,1.0,26.791,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,1.4,3.0,0.3094609375,1.0,1.0,26.5905,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.0,2.0,0.302734375,1.0,1.0,21.452,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.0,2.5,0.28189322916666665,0.9995,0.9995,20.6065,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.0,3.0,0.2579895833333333,0.9995,0.9995,19.633,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.5,2.0,0.29832552083333336,1.0,0.9915,21.2125,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.5,2.5,0.27620833333333333,1.0,0.9945,20.428,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.5,3.0,0.2523385416666667,1.0,0.9965,19.294,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.8,2.0,0.3591770833333333,1.0,0.6745,14.384,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.8,2.5,0.34165625,1.0,0.6825,13.928,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.8,3.0,0.3265,0.999,0.671,12.857,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.9,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.9,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.9,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.0,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.0,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.0,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.1,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.1,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.1,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.25,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.25,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,gain_only,gain_only_pSA,1.25,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
