size,anchor,variant,implementation_mode,lambda_mem,boundary_extension,formula,score,ber_score,fer_score,syndrome_penalty,mean_BER,mean_FER,mean_syndrome_violation,evaluation_trials_per_ebno,evaluation_seeds,elapsed_seconds,source_parameter_file,kw,kr,alpha,alpha_mode,nrnd,psa_p,response_lambda,lambda_out,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles
N96_M48,lambda,normalized,lambda_pSA_normalized,0.0,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,0.6255649680104872,0.41818835176016084,0.3989664145849651,0.2551666666666667,0.03581423611111111,0.3773333333333333,0.2551666666666667,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,56.33988262526691,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,0.5,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,0.9271619264144715,0.574048405802099,0.5639009363951958,0.48066666666666663,0.04923611111111111,0.5441666666666666,0.48066666666666663,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,57.19641191698611,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,0.8,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.0826320295817924,0.6563724259691165,0.6425480180633795,0.5955,0.058010416666666655,0.6428333333333334,0.5955,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,56.967435707803816,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,0.9,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.1111286231186106,0.670921017987231,0.6531213589902315,0.6191666666666668,0.059734375,0.6571666666666666,0.6191666666666668,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,59.515312999952585,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.1260583083511682,0.679837263592332,0.6627718904608474,0.6273333333333333,0.06067361111111111,0.6684999999999999,0.6273333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,59.25712295761332,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,1.0,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.1425513311187587,0.6874239436192373,0.6677202708309405,0.6431666666666668,0.06162326388888889,0.6781666666666667,0.6431666666666668,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,59.51426395913586,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,1.1,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.1750486216085247,0.703967269695117,0.6870734262337054,0.6673333333333334,0.0636579861111111,0.7038333333333333,0.6673333333333334,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,60.46581174992025,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,1.25,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.2203829121961016,0.7264462503566205,0.7075999758640726,0.7048333333333333,0.06640277777777778,0.7345,0.7048333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,60.10308179212734,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,1.4,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.2545800418613609,0.741889897511355,0.724284055083363,0.7356666666666666,0.06850173611111111,0.7605,0.7356666666666666,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,60.04462695773691,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,gain_only,gain_only_pSA,0.0,False,(1+lambda)*q_t + xi_t,0.6255649680104872,0.41818835176016084,0.3989664145849651,0.2551666666666667,0.03581423611111111,0.3773333333333333,0.2551666666666667,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,58.450936124660075,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
