size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,0,25600,0.052083333333333336,1,13,0.20833333333333334,8,18.227109375,0.0,0.07387288411458333,0.0515544497651142,0.13022935582426093,0.5636973901526822,0.8817291796907477,0.9392681641431766,0.5636973901526822,16.99109375,0.3539811197916667,0.0,0.23571451822916667,0.0598974609375,0.03918232270100133,0.12706282021184043,0.674204204880917,0.8948167554658237,0.9450130208333334,0.674204204880917,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,1,25600,0.08333333333333333,1,14,0.19791666666666666,17,17.99875,0.00015624999999996891,0.072127685546875,0.04999387889923991,0.12939917640206527,0.5720492668577216,0.8860096404711612,0.9408576048158116,0.5720492668577216,16.32953125,0.34019856770833334,0.0006249999999999867,0.22664876302083334,0.0559423828125,0.03616587813378681,0.12342017579134831,0.6945598152666329,0.9036083766560482,0.9484016927083333,0.6945598152666329,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,2,25600,0.041666666666666664,1,10,0.20833333333333334,16,17.4334765625,3.906249999996447e-05,0.06812744140625,0.04618854297666734,0.12972658071733245,0.592750313014553,0.9002458487443344,0.9483013396136498,0.592750313014553,16.0496875,0.3343684895833333,0.0,0.21995768229166668,0.05303548177083333,0.03399039755619683,0.12057241374207345,0.7075800523087992,0.9133842847094841,0.9548388671875,0.7075800523087992,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,3,25600,0.07291666666666667,1,17,0.2708333333333333,18,17.6030859375,0.0,0.06844645182291667,0.04743848430610139,0.12282705036643542,0.5895078756812299,0.8998109704369295,0.9489952927684764,0.5895078756812299,16.1278125,0.33599609375,0.0,0.23081705729166666,0.052369791666666665,0.034046425019572994,0.11343346731542205,0.7087346623707819,0.9161133501855997,0.9566682942708333,0.7087346623707819,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,4,25600,0.14583333333333334,1,18,0.3125,20,18.4378515625,0.0,0.07456949869791667,0.05484221042480865,0.11644635439631304,0.5590271830643821,0.8802890766536942,0.9400295695084894,0.5590271830643821,17.5025,0.36463541666666666,0.0,0.28404622395833334,0.0619580078125,0.043268520349821885,0.10906548857144495,0.6652586821156314,0.8920736990885944,0.945234375,0.6652586821156314,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,5,25600,0.13541666666666666,1,21,0.3125,20,18.3608984375,0.0,0.07385335286458333,0.05345777632193673,0.11939128387328454,0.5645541395382715,0.8835110314878033,0.9412448871042504,0.5645541395382715,16.88796875,0.35183268229166664,0.0,0.26597493489583335,0.05865885416666667,0.03995494286924341,0.11027616465851166,0.6789152792193626,0.8996946409962484,0.9479915364583333,0.6789152792193626,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,6,25600,0.07291666666666667,1,13,0.2604166666666667,9,17.246015625,0.0,0.06647664388020834,0.04505990609002492,0.12666101303384583,0.5984094739083019,0.9038314993150136,0.9498595985740098,0.5984094739083019,15.65765625,0.326201171875,0.0,0.2103076171875,0.050457356770833336,0.031950369958160724,0.11995201609782524,0.7206573959434095,0.9199768743343041,0.9580240885416667,0.7206573959434095,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,7,25600,0.052083333333333336,1,11,0.20833333333333334,10,17.0365625,0.0,0.0664453125,0.04449090647469467,0.13111185317424642,0.6022441899958788,0.9034786114440251,0.9485164398463148,0.6022441899958788,15.40703125,0.32097981770833334,0.0,0.1983837890625,0.0503369140625,0.03139999512706186,0.12685832430835878,0.7253532090821581,0.919366361518661,0.9569563802083333,0.7253532090821581,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,8,25600,0.0,0,0,0.0,0,7.1855078125,0.627578125,0.03290201822916667,0.018641452156481903,0.13946529226207918,0.7876591395754132,0.9729595169119846,0.9779489176717541,0.7876591395754132,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999972523224,1.0000000000000002,1.0,0.9999999972523224,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,9,25600,0.10416666666666667,1,14,0.2604166666666667,15,18.29015625,0.0,0.07378214518229166,0.052107014529608454,0.12630674275780704,0.5641418700725341,0.88215895319907,0.9399244120815328,0.5641418700725341,17.233125,0.3590234375,0.0,0.250283203125,0.06077311197916667,0.04052173497721535,0.12143084736284245,0.6727254540166422,0.8942771938388415,0.9458951822916667,0.6727254540166422,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,10,25600,0.0,0,0,0.0,0,12.3058984375,0.31722656250000003,0.050786946614583335,0.03131505458875335,0.13411152617593544,0.6874353130633301,0.9402390016379147,0.9631779104902789,0.6874353130633301,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999971459052,1.0,1.0,0.9999999971459052,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,11,25600,0.13541666666666666,1,17,0.23958333333333334,11,18.68328125,0.0,0.07645792643229167,0.055977017590172054,0.12055341800019757,0.5523656470880235,0.8733189420056767,0.9356015995012343,0.5523656470880235,17.568125,0.3660026041666667,0.0,0.27704752604166666,0.0626611328125,0.043327712400348516,0.11310779136094744,0.6602396499304876,0.8870270385347329,0.9416389973958333,0.6602396499304876,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,12,25600,0.08333333333333333,1,18,0.07291666666666667,13,17.7531640625,0.0,0.070252685546875,0.048682270414063006,0.12609634071188033,0.5805269561112777,0.8932676801170234,0.9448557674503214,0.5805269561112777,16.25578125,0.338662109375,0.0,0.2283447265625,0.05488606770833333,0.03554229955514119,0.12024202341840262,0.6980436622118424,0.9087335329167363,0.9522216796875,0.6980436622118424,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,13,25600,0.0625,1,12,0.3125,16,18.16921875,0.0,0.07278889973958333,0.05040461893452038,0.1309088620858199,0.5670866729791487,0.8843800299625444,0.940603689398382,0.5670866729791487,16.86734375,0.35140299479166665,0.0,0.23018391927083334,0.05896809895833333,0.03831183520900151,0.12805753360723554,0.6796596458467867,0.8978798538325422,0.946962890625,0.6796596458467867,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,14,25600,0.09375,1,15,0.2708333333333333,16,17.8359765625,0.0,0.07015869140625,0.04908272735089017,0.12293383863659371,0.5798176139671122,0.8936431240783125,0.9458675452704507,0.5798176139671122,16.38484375,0.34135091145833335,0.0,0.23621256510416666,0.054459635416666666,0.035656978714064404,0.11526084769471413,0.6991169565793744,0.910114502922685,0.9535823567708334,0.6991169565793744,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,15,25600,0.10416666666666667,1,14,0.2916666666666667,18,17.829296875,0.0,0.07078125,0.04939184522835905,0.1248249299719888,0.5803934003105332,0.8923797472209624,0.9443315591371375,0.5803934003105332,16.0184375,0.3337174479166667,0.0,0.23073893229166667,0.05376953125,0.03494685082685895,0.1165213588397946,0.7084945021123158,0.9115868684113011,0.9529541015625,0.7084945021123158,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,16,25600,0.08333333333333333,1,18,0.14583333333333334,12,18.1847265625,0.0,0.07247314453125,0.05080919574599454,0.12630941559684677,0.56939567357193,0.88748485596992,0.9438793615653207,0.56939567357193,16.8625,0.35130208333333335,0.0,0.23658854166666668,0.057169596354166664,0.03743462585628669,0.12084419649306248,0.6845509382572297,0.903501334744853,0.9509912109375,0.6845509382572297,0.0,0.0
N96_M48,normalized,lambda_pSA_normalized,0.95,20284892,2.0,17,25600,0.0,0,0,0.0,0,6.646875,0.6630078125000001,0.031255696614583335,0.017558474114940006,0.14150373725100335,0.7984032430618087,0.9759291802762042,0.9793531825050229,0.7984032430618087,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999997410258,1.0000000000000002,1.0,0.999999997410258,0.0,0.0
