size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories
N192_M96,3.0,pSA,additive,late_q_lag1_cosine,control_minus_additive,-0.3169193470643568,0.00264658064001401,0.0008369222833750435,-0.31881246526935114,-0.3150262288593625,10,200
N192_M96,3.0,pSA,additive,late_q_lag1_product,control_minus_additive,-0.5434001776003996,0.002768796733145965,0.0008755704054774675,-0.5453807178575897,-0.5414196373432095,10,200
N192_M96,3.0,pSA,additive,late_q_sign_persistence,control_minus_additive,-0.13211315646701388,0.0012701747888956116,0.00040166453594336795,-0.1330217216473178,-0.13120459128670997,10,200
N192_M96,3.0,pSA,additive,late_repair_rate,control_minus_additive,0.24950863238253673,nan,nan,nan,nan,1,1
N192_M96,3.0,pSA,additive,late_state_BER,control_minus_additive,0.3129182345920138,0.0030529789977200425,0.0009654367281453339,0.31073441671294905,0.31510205247107853,10,200
N192_M96,3.0,pSA,additive,late_syndrome_weight_fraction,control_minus_additive,0.4247556098090278,0.001570836935178581,0.0004967422547882591,0.4236319788286968,0.42587924078935885,10,200
N192_M96,3.0,pSA,additive,late_syndrome_zero_fraction,control_minus_additive,-0.996328125,0.011611488283430773,0.0036718750000000015,-1.00463390625,-0.98802234375,10,200
N192_M96,3.0,shuffled,additive,decoded_BER,control_minus_additive,0.38023437499999996,0.0055371466920773535,0.0017509995285431455,0.37627361406643534,0.3841951359335646,10,200
N192_M96,3.0,shuffled,additive,decoded_FER,control_minus_additive,0.9949999999999999,0.01581138830084191,0.005000000000000004,0.9836899999999998,1.0063099999999998,10,200
N192_M96,3.0,shuffled,additive,late_backflip_rate,control_minus_additive,0.20104484869379236,0.0004662703004482573,0.0001474476154707522,0.20071132218759752,0.2013783751999872,10,200
N192_M96,3.0,shuffled,additive,late_bit_flip_rate,control_minus_additive,0.2442032769097222,0.00019652954987414703,6.214810051299624e-05,0.24406269790636181,0.2443438559130826,10,200
N192_M96,3.0,shuffled,additive,late_q_lag1_cosine,control_minus_additive,-0.410975009212369,0.0009474009227910879,0.0002995944773365165,-0.41165269192010423,-0.4102973265046338,10,200
N192_M96,3.0,shuffled,additive,late_q_lag1_product,control_minus_additive,-0.6275627018457917,0.0009451449066754978,0.0002988810624001854,-0.6282387708089409,-0.6268866328826425,10,200
N192_M96,3.0,shuffled,additive,late_q_sign_persistence,control_minus_additive,-0.15469698893229167,0.0008728950737713801,0.0002760336591458265,-0.15532137706927954,-0.1540726007953038,10,200
N192_M96,3.0,shuffled,additive,late_repair_rate,control_minus_additive,0.26739040445607043,nan,nan,nan,nan,1,1
N192_M96,3.0,shuffled,additive,late_state_BER,control_minus_additive,0.39208477105034717,0.0020116412949387217,0.0006361368327256908,0.39064582953472166,0.3935237125659727,10,200
N192_M96,3.0,shuffled,additive,late_syndrome_weight_fraction,control_minus_additive,0.48190756293402776,0.0007706064672979144,0.00024368716163174694,0.48135634257441673,0.4824587832936388,10,200
N192_M96,3.0,shuffled,additive,late_syndrome_zero_fraction,control_minus_additive,-0.996328125,0.011611488283430773,0.0036718750000000015,-1.00463390625,-0.98802234375,10,200
N288_M144,2.0,gain_only,additive,decoded_BER,control_minus_additive,0.30269097222222224,0.009272361245296241,0.0029321780823011357,0.2960583854000571,0.3093235590443874,10,200
N288_M144,2.0,gain_only,additive,decoded_FER,control_minus_additive,0.8099999999999999,0.06992058987801011,0.02211083193570267,0.7599852981614406,0.8600147018385593,10,200
N288_M144,2.0,gain_only,additive,late_backflip_rate,control_minus_additive,0.1754048338940558,0.0004265146735229895,0.00013487578238157593,0.17509974487430868,0.17570992291380294,10,200
N288_M144,2.0,gain_only,additive,late_bit_flip_rate,control_minus_additive,0.2292922336154514,0.0003703800468262452,0.00011712445478507533,0.22902729809872754,0.22955716913217525,10,200
N288_M144,2.0,gain_only,additive,late_q_lag1_cosine,control_minus_additive,-0.4025950047408407,0.0008424124604216834,0.0002663942104238968,-0.40319758844481957,-0.40199242103686184,10,200
N288_M144,2.0,gain_only,additive,late_q_lag1_product,control_minus_additive,-0.6076207157991076,0.002531363681850723,0.0008004874820878117,-0.6094314184835902,-0.605810013114625,10,200
N288_M144,2.0,gain_only,additive,late_q_sign_persistence,control_minus_additive,-0.25842970377604163,0.00037200354538885667,0.00011763785010866151,-0.2586958005929874,-0.25816360695909585,10,200
N288_M144,2.0,gain_only,additive,late_repair_rate,control_minus_additive,0.2998738235351712,0.0032228171408995145,0.0010191442647474263,0.29756851920831257,0.3021791278620299,10,42
N288_M144,2.0,gain_only,additive,late_state_BER,control_minus_additive,0.3220571343315972,0.00796048692479574,0.0025173269966344046,0.3163629406652102,0.32775132799798423,10,200
N288_M144,2.0,gain_only,additive,late_syndrome_weight_fraction,control_minus_additive,0.44096413845486104,0.0037091410977695173,0.0011729334031888963,0.43831096309684775,0.44361731381287434,10,200
N288_M144,2.0,gain_only,additive,late_syndrome_zero_fraction,control_minus_additive,-0.798353125,0.06275992412064679,0.019846430600058397,-0.8432457510173321,-0.7534604989826679,10,200
N288_M144,2.0,normalized,additive,decoded_BER,control_minus_additive,0.31829861111111113,0.01010569782849375,0.0031957022483457883,0.31106993262535293,0.32552728959686933,10,200
N288_M144,2.0,normalized,additive,decoded_FER,control_minus_additive,0.8099999999999999,0.06992058987801011,0.02211083193570267,0.7599852981614406,0.8600147018385593,10,200
N288_M144,2.0,normalized,additive,late_backflip_rate,control_minus_additive,0.16260233515621997,0.0003028400257083331,9.576642479022794e-05,0.16238571150334447,0.16281895880909547,10,200
N288_M144,2.0,normalized,additive,late_bit_flip_rate,control_minus_additive,0.20994536132812497,0.000391556179273535,0.00012382093584175846,0.2096652783712509,0.21022544428499904,10,200
N288_M144,2.0,normalized,additive,late_q_lag1_cosine,control_minus_additive,-0.43847322956995116,0.0008336956840768992,0.0002636377237135173,-0.4390695781009911,-0.4378768810389112,10,200
N288_M144,2.0,normalized,additive,late_q_lag1_product,control_minus_additive,-0.6363460429784572,0.002888412290079369,0.0009133961658273776,-0.6384121451055588,-0.6342799408513556,10,200
N288_M144,2.0,normalized,additive,late_q_sign_persistence,control_minus_additive,-0.27380078667534724,0.00042884351920452767,0.00013561222804884672,-0.27410754153519373,-0.27349403181550075,10,200
N288_M144,2.0,normalized,additive,late_repair_rate,control_minus_additive,0.26518250377829855,0.003270054373059754,0.0010340819891462775,0.26284341031884967,0.26752159723774743,10,42
N288_M144,2.0,normalized,additive,late_state_BER,control_minus_additive,0.3300319688585069,0.008161043676887494,0.002580748610307973,0.32419431550199024,0.33586962221502353,10,200
N288_M144,2.0,normalized,additive,late_syndrome_weight_fraction,control_minus_additive,0.459127414279514,0.00385996638835089,0.001220628547888284,0.45636635250419066,0.4618884760548373,10,200
N288_M144,2.0,normalized,additive,late_syndrome_zero_fraction,control_minus_additive,-0.798353125,0.06275992412064679,0.019846430600058397,-0.8432457510173321,-0.7534604989826679,10,200
N288_M144,2.0,pSA,additive,decoded_BER,control_minus_additive,0.3038194444444444,0.007481634034244076,0.002365900416804547,0.2984677777016325,0.3091711111872563,10,200
N288_M144,2.0,pSA,additive,decoded_FER,control_minus_additive,0.8099999999999999,0.06992058987801011,0.02211083193570267,0.7599852981614406,0.8600147018385593,10,200
N288_M144,2.0,pSA,additive,late_backflip_rate,control_minus_additive,0.17614405962042223,0.0004764435476307613,0.00015066467870041255,0.1758032561172019,0.17648486312364256,10,200
N288_M144,2.0,pSA,additive,late_bit_flip_rate,control_minus_additive,0.23021653917100693,0.00044213723829296294,0.000139816071138238,0.22990027521809223,0.23053280312392163,10,200
N288_M144,2.0,pSA,additive,late_q_lag1_cosine,control_minus_additive,-0.404795731467663,0.0010046745430383822,0.00031770598631901506,-0.4055143824087166,-0.4040770805266094,10,200
