stage,alpha,kw,rho,metric,stratum,n_formulas,baseline_mean,treatment_mean,mean_difference_treatment_minus_baseline,ci95_low,ci95_high,relative_reduction_pct,standardized_paired_effect_dz,paired_t_pvalue,wilcoxon_pvalue,improved_formula_count,worsened_formula_count,tied_formula_count,improved_formula_fraction,improved_formula_fraction_ci_low,improved_formula_fraction_ci_high,holm_adjusted_pvalue_primary_metric_within_alpha,is_preregistered_primary
A,1.2,12.0,0.04,SAT_mean_selected_unsat_rate,SAT,13,0.0006807692307692307,0.0006923076923076923,1.153846153846156e-05,-1.538461538461535e-05,3.846153846153851e-05,-1.6949152542372965,0.22386028108743694,0.4352927199045389,0.4638671875,5,6,2,0.38461538461538464,0.17709707797762575,0.6447710848733431,,False
A,1.2,12.0,0.04,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0032068627450980397,0.0032235294117647063,1.666666666666653e-05,-1.568627450980413e-05,4.607843137254881e-05,-0.5197187404463435,0.2490291225458741,0.31980075286772286,0.09949662698418833,3,10,4,0.17647058823529413,0.06191126637620997,0.41029458568834126,,False
A,1.2,12.0,0.06,all_mean_selected_unsat_rate,all,30,0.0021122222222222224,0.0021494444444444447,3.722222222222227e-05,1.166666666666669e-05,6.277777777777785e-05,-1.7622304050499793,0.5140594813801704,0.00866315428328572,0.009577862391829936,6,17,7,0.2,0.0950510717728987,0.3730569641314825,0.13115582685633412,False
A,1.2,12.0,0.06,all_mean_selected_unsat,all,30,1.2673333333333334,1.2896666666666667,0.022333333333333365,0.007000000000000024,0.03766666666666671,-1.7622304050499722,0.5140594813801708,0.008663154283285674,0.007972280079312642,6,17,7,0.2,0.0950510717728987,0.3730569641314825,,False
A,1.2,12.0,0.06,all_mean_final_unsat_rate,all,30,0.005281111111111111,0.005716666666666666,0.00043555555555555546,0.00032055555555555554,0.0005477916666666655,-8.247422680412349,1.3376129308984317,4.531718069963418e-08,1.2172508207923543e-05,3,24,3,0.1,0.03459988874733419,0.25621082579184085,,False
A,1.2,12.0,0.06,SAT_success_rate,SAT,13,0.596153846153846,0.5846153846153846,-0.011538461538461553,-0.028461538461538496,0.0038461538461538433,,-0.36843806309180627,0.20874929940686007,0.33203125,4,6,3,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,12.0,0.06,SAT_mean_selected_unsat_rate,SAT,13,0.0006807692307692307,0.000705128205128205,2.4358974358974386e-05,-3.846153846153842e-06,5.6410256410256414e-05,-3.578154425612044,0.41725503029760724,0.15832692234160123,0.248046875,4,6,3,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,12.0,0.06,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0032068627450980397,0.003253921568627451,4.7058823529411835e-05,7.843137254901964e-06,8.333333333333347e-05,-1.4674411494955533,0.574505357785368,0.03077171274681421,0.021874068296108055,2,11,4,0.11764705882352941,0.03287977376379267,0.3433635059488588,,False
A,1.2,12.0,0.08,all_mean_selected_unsat_rate,all,30,0.0021122222222222224,0.0021516666666666667,3.944444444444444e-05,1.2777777777777777e-05,6.666666666666667e-05,-1.8674381904260884,0.5190263908706201,0.00810717291120648,0.018157308576560855,8,17,5,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.13115582685633412,False
A,1.2,12.0,0.08,all_mean_selected_unsat,all,30,1.2673333333333334,1.2909999999999997,0.02366666666666668,0.007999999999999964,0.039999999999999994,-1.8674381904260609,0.5190263908706202,0.008107172911206443,0.015737839661220124,8,17,5,0.26666666666666666,0.14182663319596317,0.4444796169518888,,False
