stage,alpha,kw,rho,stratum,n_formulas,n_satisfiable_formulas,n_unsatisfiable_formulas,trials_per_formula,mean_selected_unsat,mean_selected_unsat_rate,mean_selected_unsat_rate_ci_low,mean_selected_unsat_rate_ci_high,mean_final_unsat,mean_final_unsat_rate,mean_best_trial_unsat,sat_success_rate,sat_success_rate_ci_low,sat_success_rate_ci_high,mean_convergence_cycle,mean_first_hit_cycle_successful,aggregate_objective
A,1.2,8.0,0.02,SAT,13,13,0,100,0.413076923076923,0.0006884615384615384,0.00037051282051282054,0.0010217948717948719,1.4707692307692308,0.0024512820512820515,0.0,0.5915384615384615,0.39230769230769236,0.7807692307692308,551.8192307692308,762.9589455484561,-0.05828144487179487
A,1.2,8.0,0.02,UNSAT,17,0,17,100,1.928235294117647,0.0032137254901960788,0.0026911519607843134,0.0037666666666666664,4.626470588235294,0.00771078431372549,1.5294117647058822,,,,668.1611764705882,,0.0040737007843137255
A,1.2,8.0,0.04,all,30,13,17,100,1.274,0.002123333333333333,0.001591666666666667,0.0026850000000000003,3.353666666666667,0.005589444444444445,0.8666666666666667,0.5884615384615384,0.3892307692307692,0.7815384615384614,634.1546666666667,770.831997784404,-0.05615032451282051
A,1.2,8.0,0.04,SAT,13,13,0,100,0.41384615384615386,0.0006897435897435897,0.0003717948717948718,0.0010243589743589743,1.5399999999999996,0.0025666666666666663,0.0,0.5884615384615384,0.3892307692307692,0.7815384615384614,561.4453846153847,770.831997784404,-0.05796926179487179
A,1.2,8.0,0.04,UNSAT,17,0,17,100,1.9317647058823528,0.003219607843137255,0.0026999754901960776,0.003765686274509804,4.740588235294118,0.007900980392156863,1.5294117647058822,,,,689.7558823529412,,0.00408678137254902
A,1.2,8.0,0.06,all,30,13,17,100,1.286333333333333,0.002143888888888889,0.0015949861111111106,0.0027055555555555557,3.4356666666666666,0.0057261111111111115,0.8666666666666667,0.5884615384615384,0.38923076923076916,0.7792307692307693,621.2653333333334,843.4025549975493,-0.05613406540170939
A,1.2,8.0,0.06,SAT,13,13,0,100,0.41923076923076924,0.0006987179487179487,0.00038205128205128213,0.0010346153846153847,1.5999999999999999,0.0026666666666666666,0.0,0.5884615384615384,0.38923076923076916,0.7792307692307693,565.6176923076923,843.4025549975493,-0.05795889666666666
A,1.2,8.0,0.06,UNSAT,17,0,17,100,1.9494117647058824,0.0032490196078431375,0.002732352941176471,0.0037794117647058823,4.839411764705882,0.008065686274509805,1.5294117647058822,,,,663.8194117647059,,0.004107547647058824
A,1.2,8.0,0.08,all,30,13,17,100,1.2903333333333336,0.0021505555555555557,0.0016072222222222221,0.0027133333333333332,3.5403333333333338,0.0059005555555555565,0.8666666666666667,0.5823076923076923,0.38307692307692304,0.7738461538461539,626.4713333333333,1082.1671463377343,-0.055510278786324786
A,1.2,8.0,0.08,SAT,13,13,0,100,0.4246153846153847,0.0007076923076923077,0.0003820512820512821,0.0010371794871794873,1.6707692307692308,0.0027846153846153845,0.0,0.5823076923076923,0.38307692307692304,0.7738461538461539,576.1292307692308,1082.1671463377343,-0.057331033846153845
