size,initialization,reference,comparator,metric,contrast_definition,positive_value_favors_additive,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories_with_finite_metric
N288_M144,channel_hard,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,0.44913512912326387,0.0021591125570658135,0.0006827713404998247,0.44759070035105325,0.4506795578954745,10,200
N288_M144,channel_hard,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,0.17437241275889287,0.0005446811497984697,0.00017224330319225273,0.17398279840707198,0.17476202711071376,10,200
N288_M144,channel_hard,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.41139710971958265,0.002564192252484153,0.0008108687876407473,0.40956292452193926,0.41323129491722604,10,200
N288_M144,channel_hard,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,channel_hard,additive,shuffled,reached_correct,additive_minus_comparator,1,0.97,0.042163702135578386,0.01333333333333333,0.93984,1.00016,10,200
N288_M144,channel_hard,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.3911111111111111,0.010838550302878985,0.0034274505491405432,0.3833582179689552,0.39886400425326696,10,200
N288_M144,channel_hard,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.3967624755859375,0.004245965709661118,0.0013426922509502332,0.3937253057142881,0.39979964545758695,10,200
N288_M144,channel_hard,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,channel_hard,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.48511674804687493,0.0021627518672926826,0.0006839221914427098,0.4835697160498315,0.48666378004391836,10,200
N288_M144,channel_hard,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.22877625854118117,0.0002663889792116368,8.423959178760178e-05,0.22858570858455762,0.2289668084978047,10,200
N288_M144,channel_hard,additive,shuffled,late_channel_alignment,additive_minus_comparator,1,0.5288218346591036,0.002879259498448454,0.0009105017989771158,0.5267622795898174,0.5308813897283898,10,200
N288_M144,channel_hard,additive,shuffled,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
