size,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,actual_rate,scope,EbNo_dB,pSA_BER,additive_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,log10_BER_ratio_continuity_corrected,pSA_FER,additive_FER,absolute_FER_reduction,relative_FER_reduction,pSA_syndrome_violation_rate,additive_syndrome_violation_rate,pSA_avg_syndrome_weight,additive_avg_syndrome_weight,BER_additive_better,FER_additive_better,BER_tie,FER_tie,pSA_bit_errors,additive_bit_errors,pSA_frame_errors,additive_frame_errors,n_trials_per_mode,n_bits_per_mode,parameter_transfer_policy
N192_M96,new_05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,96,0.5,per_EbNo,2.5,0.28508333333333336,0.004182291666666667,0.2809010416666667,0.9853295819935691,-1.8335575115623064,-1.8332911428975938,1.0,0.038,0.962,0.962,1.0,0.032,20.826,0.047,1,1,0,0,54736,803,1000,38,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,96,0.5,per_EbNo,3.0,0.2603125,0.0011666666666666668,0.25914583333333335,0.9955182072829132,-2.348548233456268,-2.3475842511120493,1.0,0.013,0.987,0.987,1.0,0.011,19.65,0.018,1,1,0,0,49980,224,1000,13,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,96,0.5,pooled_across_EbNo,,0.283359375,0.006279513888888889,0.27707986111111116,0.977839046656251,-1.6544115605941583,-1.6543528599994568,1.0,0.05266666666666667,0.9473333333333334,0.9473333333333334,1.0,0.04533333333333334,20.709666666666667,0.07433333333333333,1,1,0,0,163215,3617,3000,158,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,96,0.5,per_EbNo,2.0,0.29980729166666664,0.01540625,0.28440104166666663,0.9486128242099959,-1.2891452502370166,-1.2890756186090586,1.0,0.122,0.878,0.878,1.0,0.1,21.531,0.158,1,1,0,0,57563,2958,1000,122,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,96,0.5,per_EbNo,2.5,0.28422395833333336,0.004458333333333333,0.279765625,0.9843140129372744,-1.8044881475172574,-1.8042385240438252,1.0,0.045,0.955,0.955,1.0,0.035,20.813,0.06,1,1,0,0,54571,856,1000,45,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,96,0.5,per_EbNo,3.0,0.26043229166666665,0.0011197916666666667,0.2593125,0.995700257984521,-2.366557601307629,-2.36555312938903,1.0,0.016,0.984,0.984,1.0,0.011,19.865,0.017,1,1,0,0,50003,215,1000,16,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_06,new,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,96,0.5,pooled_across_EbNo,,0.2814878472222222,0.0069947916666666665,0.27449305555555553,0.975150644208293,-1.6046848656724335,-1.604632312233039,1.0,0.061,0.9390000000000001,0.9390000000000001,1.0,0.048666666666666664,20.736333333333334,0.07833333333333334,1,1,0,0,162137,4029,3000,183,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,96,0.5,per_EbNo,2.0,0.3025729166666667,0.016328125,0.2862447916666667,0.9460357351877992,-1.267893735219297,-1.2678282131186145,1.0,0.12,0.88,0.88,1.0,0.11,21.54,0.193,1,1,0,0,58094,3135,1000,120,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,96,0.5,per_EbNo,2.5,0.28446875,0.005213541666666667,0.27925520833333334,0.9816727086308543,-1.7369017156355164,-1.736688815212052,1.0,0.047,0.953,0.953,1.0,0.039,20.768,0.069,1,1,0,0,54618,1001,1000,47,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,96,0.5,per_EbNo,3.0,0.26075,0.0010729166666666667,0.25967708333333334,0.9958852668584213,-2.3856583254329644,-2.384609827180995,1.0,0.01,0.99,0.99,1.0,0.007,19.8,0.01,1,1,0,0,50064,206,1000,10,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_07,new,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,96,0.5,pooled_across_EbNo,,0.2825972222222222,0.007538194444444445,0.2750590277777778,0.973325305941908,-1.5739005529585757,-1.5738518789807152,1.0,0.059,0.9410000000000001,0.9410000000000001,1.0,0.052,20.702666666666666,0.09066666666666667,1,1,0,0,162776,4342,3000,177,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,96,0.5,per_EbNo,2.0,0.30103125,0.015083333333333334,0.28594791666666663,0.9498944600159175,-1.3001142531446992,-1.3000430348211631,1.0,0.107,0.893,0.893,1.0,0.098,21.556,0.168,1,1,0,0,57798,2896,1000,107,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,96,0.5,per_EbNo,2.5,0.284375,0.0047708333333333335,0.27960416666666665,0.9832234432234432,-1.7752971690368868,-1.775064150443987,1.0,0.042,0.958,0.958,1.0,0.035,20.808,0.054,1,1,0,0,54600,916,1000,42,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,96,0.5,per_EbNo,3.0,0.26063020833333334,0.0011875,0.2594427083333333,0.9954437361363682,-2.3413911328806907,-2.3404441148401185,1.0,0.011,0.989,0.989,1.0,0.01,19.751,0.016,1,1,0,0,50041,228,1000,11,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_08,new,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,96,0.5,pooled_across_EbNo,,0.2820121527777778,0.007013888888888889,0.2749982638888889,0.9751291253947636,-1.604308942130574,-1.6042565329297716,1.0,0.05333333333333334,0.9466666666666667,0.9466666666666667,1.0,0.04766666666666667,20.705,0.07933333333333334,1,1,0,0,162439,4040,3000,160,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_09,new,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,96,0.5,per_EbNo,2.0,0.305,0.016713541666666668,0.28828645833333333,0.9452015027322405,-1.2612313509548314,-1.2611673961296619,1.0,0.123,0.877,0.877,1.0,0.11,21.638,0.187,1,1,0,0,58560,3209,1000,123,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_09,new,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,96,0.5,per_EbNo,2.5,0.28193229166666667,0.004536458333333333,0.27739583333333334,0.9839094049620366,-1.7934278951846427,-1.7931826702413352,1.0,0.04,0.96,0.96,1.0,0.039,20.667,0.067,1,1,0,0,54131,871,1000,40,1000,192000,fixed_size_specific_no_code_retuning
