size,scope,EbNo_dB,comparison,method,comparator,n_code_realizations,bootstrap_unit,bootstrap_samples,BER_method_better_count,BER_comparator_better_count,BER_tie_count,mean_relative_BER_reduction,median_relative_BER_reduction,relative_BER_reduction_sd_between_codes,mean_relative_BER_reduction_bootstrap_ci95_low,mean_relative_BER_reduction_bootstrap_ci95_high,median_relative_BER_reduction_bootstrap_ci95_low,median_relative_BER_reduction_bootstrap_ci95_high,mean_method_BER,mean_comparator_BER,FER_method_better_count,FER_comparator_better_count,FER_tie_count,mean_relative_FER_reduction,median_relative_FER_reduction,relative_FER_reduction_sd_between_codes,mean_relative_FER_reduction_bootstrap_ci95_low,mean_relative_FER_reduction_bootstrap_ci95_high,median_relative_FER_reduction_bootstrap_ci95_low,median_relative_FER_reduction_bootstrap_ci95_high,mean_method_FER,mean_comparator_FER
N192_M96,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.7630273502030444,0.7661177308876812,0.016214119951927102,0.7538289689005598,0.7729804859786426,0.7481000174044207,0.7716618907622022,0.007197222222222221,0.030373611111111108,10,0,0,0.8134233524319926,0.8181266074477511,0.019537812764567588,0.801125824634772,0.8242872692996424,0.7970698833868515,0.8284477269262158,0.059699999999999996,0.3197666666666667
N192_M96,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.8923147309943129,0.8924613873213554,0.0016124327735170816,0.8913399582558492,0.8932084269522814,0.8911482115774247,0.8937873645294311,0.030373611111111108,0.28205850694444445,10,0,0,0.6802121484939423,0.6799999999999999,0.005633496846045841,0.6769892186284318,0.6835805696343225,0.675,0.6851146493275536,0.3197666666666667,0.9999333333333332
N288_M144,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9447499927592542,0.9445652625290819,0.002565128186265798,0.9431952282018423,0.9462170171468767,0.9436857531220797,0.9464522287472935,0.018132986111111114,0.32822534722222224,10,0,0,0.8361000000000001,0.836,0.005896326540030388,0.8327,0.8395999999999999,0.8305,0.8405,0.1639,1.0
N288_M144,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.7631644373217037,0.7605217054992839,0.010490729872341887,0.7570249030929223,0.7693723813990074,0.7577902875515644,0.7723819264952478,0.018132986111111114,0.07657430555555556,10,0,0,0.7648085497608769,0.7624786568610588,0.008759173463726873,0.7602895512785361,0.7704770381782119,0.7584702396983571,0.7692510450390107,0.1639,0.6970000000000001
N288_M144,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.7667008390383023,0.7658303767369388,0.004134957702398055,0.7644312218014105,0.7692937664192521,0.7635389872741036,0.7699350154486762,0.07657430555555556,0.32822534722222224,10,0,0,0.30300000000000005,0.30250000000000005,0.01123486636423512,0.29640000000000005,0.3095,0.29500000000000004,0.312,0.6970000000000001,1.0
N288_M144,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.986380284672092,0.9865184764651915,0.0018639591574814256,0.985251348471138,0.9874572445900633,0.9855198752084343,0.9872428468820018,0.004394791666666666,0.3226378472222222,10,0,0,0.9558,0.9564999999999999,0.004613988392799545,0.9529,0.9583,0.953,0.959,0.044199999999999996,1.0
N288_M144,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.8786460176674943,0.8807243346074648,0.01731990641669346,0.8685086549693731,0.8888331997225677,0.8653596078823648,0.8899757892545904,0.004394791666666666,0.03626597222222222,10,0,0,0.8884218998690416,0.8904085356770446,0.011841847234542579,0.8812796749797548,0.8951362389611901,0.8756476683937824,0.8982630272952854,0.044199999999999996,0.39640000000000003
N288_M144,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.8875962950598242,0.8874196074531302,0.004060369880816305,0.8851569777140395,0.8898725712838148,0.8852575031363592,0.8917678841350328,0.03626597222222222,0.3226378472222222,10,0,0,0.6035999999999999,0.6014999999999999,0.011834037537731757,0.5970000000000001,0.6108,0.594,0.611,0.39640000000000003,1.0
N288_M144,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9985352228254545,0.9985219240681179,0.0006871624194553998,0.9981118947708323,0.9989103501514968,0.9982535175436402,0.999036197360495,0.0004642361111111111,0.3169423611111111,10,0,0,0.9928999999999999,0.994,0.0036040101122068054,0.9905999999999999,0.9946999999999999,0.992,0.995,0.0071,1.0
N288_M144,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.9504863536462163,0.9531771716237736,0.027321721780897246,0.932858662008518,0.964712754298974,0.9427329725679834,0.9674556213017752,0.0004642361111111111,0.009603125,10,0,0,0.9449242446735088,0.9549797661870503,0.03378268002257887,0.9224234239121095,0.9606350181325428,0.9370078740157479,0.9623868778280542,0.0071,0.13260000000000002
