size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.013392361111111112,0.03419791666666667,0.020805555555555556,0.6083866382373845,-0.40714249858296064,1,0,0,0.103,0.30466666666666664,0.20166666666666666,0.661925601750547,-0.4709877163089968,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.020538194444444446,0.03419791666666667,0.013659722222222222,0.3994314143567875,-0.2214373884850534,1,0,0,0.18466666666666667,0.30466666666666664,0.11999999999999997,0.3938730853391684,-0.21743643100540164,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.024645833333333332,0.037135416666666664,0.012489583333333332,0.33632538569424963,-0.1780447938959728,1,0,0,0.202,0.338,0.136,0.40236686390532544,-0.223565330831031,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.024645833333333332,0.0583125,0.03366666666666667,0.5773490532332977,-0.37401815383823206,1,0,0,0.202,0.521,0.319,0.6122840690978887,-0.4114863538529007,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.037135416666666664,0.0583125,0.02117708333333334,0.3631654162200787,-0.19597335994225928,1,0,0,0.338,0.521,0.183,0.3512476007677543,-0.18792102302186972,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.013197916666666667,0.018864583333333334,0.005666666666666667,0.3003865267807841,-0.1551418354306171,1,0,0,0.115,0.183,0.06799999999999999,0.3715846994535519,-0.20175324937681777,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.013197916666666667,0.032375,0.019177083333333334,0.5923423423423424,-0.3897043952454353,1,0,0,0.115,0.318,0.203,0.6383647798742139,-0.441729279630821,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.018864583333333334,0.032375,0.013510416666666667,0.4173101673101673,-0.23456255981481827,1,0,0,0.183,0.318,0.135,0.42452830188679247,-0.23997603025400321,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.0045625,0.008197916666666666,0.003635416666666666,0.4434561626429479,-0.25450062185496497,1,0,0,0.047,0.088,0.040999999999999995,0.4659090909090909,-0.2723848142144511,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.0045625,0.013927083333333333,0.009364583333333332,0.6724008975317876,-0.4846572967578849,1,0,0,0.047,0.136,0.08900000000000001,0.6544117647058824,-0.46144105043450007,1,0,0,independent_code_realization
