size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,new_08,C08,new,2026082709,739576a7430edd0513a932265b55325eaa02f404164345c0a026af382698f752,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.014006944444444445,0.03607986111111111,0.022072916666666664,0.6117794245019728,-0.4109214509454554,1,0,0,0.11533333333333333,0.32133333333333336,0.20600000000000002,0.6410788381742739,-0.44500093511005423,1,0,0,independent_code_realization
N96_M48,new_08,C08,new,2026082709,739576a7430edd0513a932265b55325eaa02f404164345c0a026af382698f752,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.023229166666666665,0.03607986111111111,0.012850694444444446,0.3561736117794245,-0.19123122705437895,1,0,0,0.21366666666666667,0.32133333333333336,0.10766666666666669,0.33506224066390045,-0.17721900438401336,1,0,0,independent_code_realization
N96_M48,new_09,C09,new,2026082710,36492256e7184aaa2cc19111c76751b01c02223ad717cbbeff3344e5ac830ae2,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.012979166666666667,0.020920138888888887,0.00794097222222222,0.37958506224066385,-0.20731775420409276,1,0,0,0.10666666666666667,0.19166666666666668,0.085,0.4434782608695652,-0.2545178663697245,1,0,0,independent_code_realization
N96_M48,new_09,C09,new,2026082710,36492256e7184aaa2cc19111c76751b01c02223ad717cbbeff3344e5ac830ae2,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.012979166666666667,0.033854166666666664,0.020874999999999998,0.6166153846153846,-0.4163653186557235,1,0,0,0.10666666666666667,0.30233333333333334,0.19566666666666666,0.6471885336273429,-0.45245730874018925,1,0,0,independent_code_realization
N96_M48,new_09,C09,new,2026082710,36492256e7184aaa2cc19111c76751b01c02223ad717cbbeff3344e5ac830ae2,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.020920138888888887,0.033854166666666664,0.012934027777777777,0.382051282051282,-0.2090475644516308,1,0,0,0.19166666666666668,0.30233333333333334,0.11066666666666666,0.36604189636163176,-0.19793944237046476,1,0,0,independent_code_realization
N192_M96,existing_00,C00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007633680555555556,0.03070138888888889,0.023067708333333332,0.7513571590137977,-0.6044240406141301,1,0,0,0.060333333333333336,0.3233333333333333,0.26299999999999996,0.81340206185567,-0.7290931593970603,1,0,0,independent_code_realization
N192_M96,existing_00,C00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.007633680555555556,0.28130208333333334,0.27366840277777776,0.9728630500524593,-1.5664389663811498,1,0,0,0.060333333333333336,0.9996666666666667,0.9393333333333334,0.9396465488496165,-1.2192978908903427,1,0,0,independent_code_realization
N192_M96,existing_00,C00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.03070138888888889,0.28130208333333334,0.25060069444444444,0.8908597173362957,-0.9620149257670195,1,0,0,0.3233333333333333,0.9996666666666667,0.6763333333333335,0.6765588529509837,-0.49020473149328236,1,0,0,independent_code_realization
N192_M96,new_01,C01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.007736111111111111,0.030585069444444446,0.022848958333333336,0.7470624964522904,-0.5969867721729296,1,0,0,0.07133333333333333,0.3253333333333333,0.254,0.7807377049180328,-0.659036044317501,1,0,0,independent_code_realization
N192_M96,new_01,C01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.007736111111111111,0.28172569444444445,0.27398958333333334,0.9725402713928294,-1.5613037593421875,1,0,0,0.07133333333333333,1.0,0.9286666666666666,0.9286666666666666,-1.1467074813704716,1,0,0,independent_code_realization
