problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,11,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.5,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.2566666666666667,-0.6670347282355179,987109,,0.6644680615688512,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,12,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.52,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.2833333333333333,-0.6672600389660881,995028,,0.6644267056327547,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,13,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.54,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.23333333333333336,-0.6667474314120018,1002947,,0.6644140980786685,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,14,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.55,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.22333333333333336,-0.6665778968456171,1010866,,0.6643445635122838,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,15,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.56,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.24333333333333332,-0.6668544661170704,1018785,,0.6644211327837372,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,16,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.58,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.25,-0.6668684865057236,1026704,,0.6643684865057237,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,17,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.6,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.2633333333333333,-0.6670730276420234,1034623,,0.66443969430869,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,18,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.62,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.2833333333333333,-0.6672867837894235,1042542,,0.6644534504560902,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,19,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.64,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.18666666666666668,-0.6662341753597124,1050461,,0.6643675086930457,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,20,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.65,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.25333333333333335,-0.6668961254501837,1058380,,0.6643627921168503,,,
