stage,alpha,kw,rho,formula_index,formula_sha256,is_satisfiable,baseline_mean_selected_unsat_rate,treatment_mean_selected_unsat_rate,difference_treatment_minus_baseline_selected_rate,difference_treatment_minus_baseline_final_rate,difference_treatment_minus_baseline_success,difference_treatment_minus_baseline_convergence_cycle,difference_treatment_minus_baseline_objective
A,1.2,4.0,0.04,1,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,0.003933333333333333,0.004050000000000001,0.0001166666666666677,0.0006833333333333344,,28.200000000000045,0.00012606666666666738
A,1.2,4.0,0.04,2,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,0.003683333333333333,0.0037,1.6666666666667e-05,0.000449999999999999,,35.54000000000008,2.8513333333334e-05
A,1.2,4.0,0.04,3,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,0.0033499999999999997,0.00345,0.00010000000000000026,0.00043333333333333245,,17.850000000000023,0.00010595000000000049
A,1.2,4.0,0.04,4,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,0.0036333333333333335,0.00365,1.6666666666666566e-05,0.0005999999999999998,,113.04000000000008,0.0004710133333333333
A,1.2,4.0,0.04,5,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,0.00115,0.00115,0.0,0.000933333333333332,0.0,54.99000000000001,1.833000000000043e-05
A,1.2,4.0,0.04,6,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,0.0005333333333333334,0.0005166666666666667,-1.6666666666666674e-05,0.0001666666666666661,0.009999999999999898,-35.960000000000036,-0.0010286533333333098
A,1.2,4.0,0.04,7,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,0.006333333333333333,0.006266666666666666,-6.666666666666713e-05,0.0003333333333333313,,8.680000000000064,-6.377333333333363e-05
A,1.2,4.0,0.04,8,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,0.0007166666666666667,0.0008333333333333334,0.00011666666666666672,0.0010166666666666666,-0.06999999999999995,-58.710000000000036,0.0070970966666666566
A,1.2,4.0,0.04,9,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,0.0024333333333333334,0.0023833333333333332,-5.000000000000013e-05,0.0004333333333333342,,34.600000000000136,-3.846666666666634e-05
A,1.2,4.0,0.04,10,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,0.005216666666666666,0.0053,8.33333333333337e-05,0.0005333333333333336,,117.54999999999995,0.00012251666666666678
A,1.2,4.0,0.04,11,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,False,0.0016666666666666668,0.0016833333333333333,1.6666666666666566e-05,0.0006833333333333327,,54.45999999999992,3.481999999999964e-05
A,1.2,4.0,0.04,12,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,True,0.0,0.0,0.0,0.0,0.0,-0.9499999999999886,-3.1666666666652077e-07
