problem,size,size_label,mode,n_rows,N,M,alpha,mean_unsat_rate,mean_unsatisfied_clauses,success_rate_all,success_rate_sat_only,unsat_instance_rate,mean_convergence_cycle,median_convergence_cycle,best_unsat_rate,best_unsatisfied_clauses,final_energy,best_energy,time_to_first_solution,score,n_trials,n_cycles,kw,lambda_mem,response_lambda,memory_coefficient,seed,mean_unsat_rate_improvement_over_pSA,success_rate_sat_only_delta_over_pSA,score_delta_over_pSA,improvement_over_pSA,memory_improves_performance,best_mode,best_memory_coefficient,best_kw,best_response_lambda,best_lambda_mem,tau_best_response_lambda_nonzero
2sat-phase-repro,N500_A1p02,N500_A1p02,pSA,1,500.0,510.0,1.02,0.00016797385620915037,0.08566666666666668,0.9143333333333333,0.9143333333333333,0.0,427.832,339.9,0.0,0.0,0.08566666666666668,0.0,479.7534348785632,-0.09112274881045752,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,pSA,0.0,7.628540070933493,0.0,0.0,
2sat-phase-repro,N500_A1p02,N500_A1p02,tau_pSA,1,500.0,510.0,1.02,0.00018039215686274513,0.09200000000000001,0.9079999999999999,0.9079999999999999,0.0,339.25533333333334,229.2,0.0,0.0,0.09200000000000001,0.0,401.33335344185167,-0.09050652273202614,100.0,3000.0,15.57958998502024,0.0,0.05,0.05,2223757,-0.07392996108949405,-0.006333333333333413,-0.0006162260784313839,-0.0006162260784313839,False,pSA,0.0,7.628540070933493,0.0,0.0,
2sat-phase-repro,N500_A1p05,N500_A1p05,lambda_pSA,1,500.0,525.0,1.0500000000000003,0.0011650793650793652,0.6116666666666666,0.8563333333333334,0.9175000000000001,0.06666666666666667,700.659,645.7166666666667,0.00012698412698412698,0.06666666666666667,0.6116666666666666,0.06666666666666667,376.71651663916174,-0.09031962160317462,100.0,3000.0,3.4852731329400544,0.04,0.0,0.04,1823757,-3.0329670329670337,0.0039285714285716145,-0.0005743454444444296,-0.0005743454444444296,False,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p05,N500_A1p05,pSA,1,500.0,525.0,1.0500000000000003,0.0002888888888888889,0.15166666666666667,0.8526666666666667,0.9135714285714285,0.06666666666666667,427.6226666666667,335.73333333333335,0.00012698412698412698,0.06666666666666667,0.15166666666666667,0.06666666666666667,482.30617970466494,-0.09089396704761905,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p05,N500_A1p05,tau_pSA,1,500.0,525.0,1.0500000000000003,0.0002838095238095238,0.149,0.8563333333333333,0.9174999999999999,0.06666666666666667,324.72533333333325,214.66666666666666,0.00012698412698412698,0.06666666666666667,0.149,0.06666666666666667,368.7549403352177,-0.09132620266666666,100.0,3000.0,15.57958998502024,0.0,0.0,0.0,2207919,0.01758241758241758,0.003928571428571392,0.0004322356190476079,0.0004322356190476079,True,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p10,N500_A1p10,lambda_pSA,1,500.0,550.0,1.1000000000000003,0.0031115151515151516,1.7113333333333332,0.6193333333333333,0.8847619047619046,0.3,1427.6793333333335,1401.9,0.0006666666666666666,0.36666666666666664,1.7113333333333332,0.36666666666666664,525.0593622114551,-0.08472211554689754,100.0,3000.0,3.4852731329400544,0.1,0.0,0.1,1855433,-2.552941176470588,-0.0019047619047620756,-0.002716072766233771,-0.002716072766233771,False,pSA,0.0,7.628540070933493,0.0,0.0,
2sat-phase-repro,N500_A1p10,N500_A1p10,pSA,1,500.0,550.0,1.1000000000000003,0.0008757575757575759,0.48166666666666663,0.6206666666666667,0.8866666666666667,0.3,558.1623333333333,432.3333333333333,0.0006666666666666666,0.36666666666666664,0.48166666666666663,0.36666666666666664,655.8760487665879,-0.08743818831313131,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,pSA,0.0,7.628540070933493,0.0,0.0,
2sat-phase-repro,N500_A1p10,N500_A1p10,tau_pSA,1,500.0,550.0,1.1000000000000003,0.0008787878787878789,0.4833333333333334,0.6183333333333334,0.8833333333333334,0.3,463.40133333333335,316.75,0.0006666666666666666,0.36666666666666664,0.4833333333333334,0.36666666666666664,528.8251525033616,-0.08713341167676769,100.0,3000.0,15.57958998502024,0.0,0.04,0.04,2215838,-0.003460207612456715,-0.0033333333333332993,-0.0003047766363636212,-0.0003047766363636212,False,pSA,0.0,7.628540070933493,0.0,0.0,
2sat-phase-repro,N500_A1p20,N500_A1p20,lambda_pSA,1,500.0,600.0,1.2000000000000002,0.005682222222222223,3.409333333333334,0.262,0.6046153846153847,0.5666666666666667,2403.6910000000003,2441.8166666666666,0.0015555555555555555,0.9333333333333333,3.409333333333334,0.8666666666666667,842.6429080559473,-0.053589197017094026,100.0,3000.0,3.4852731329400544,0.05,0.0,0.05,1831676,-1.6600780234070225,0.016153846153846185,-0.002500070940170941,-0.002500070940170941,False,tau_pSA,0.08,15.57958998502024,0.08,0.0,True
2sat-phase-repro,N500_A1p20,N500_A1p20,pSA,1,500.0,600.0,1.2000000000000002,0.002136111111111111,1.2816666666666667,0.255,0.5884615384615385,0.5666666666666667,695.6576666666666,533.8,0.0015555555555555555,0.9333333333333333,1.2816666666666667,0.9333333333333333,989.8516482282521,-0.05608926795726497,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,tau_pSA,0.08,15.57958998502024,0.08,0.0,True
2sat-phase-repro,N500_A1p20,N500_A1p20,tau_pSA,1,500.0,600.0,1.2000000000000002,0.0021605555555555553,1.296333333333333,0.25666666666666665,0.5923076923076923,0.5666666666666667,644.3943333333334,445.51666666666665,0.0014444444444444442,0.8666666666666667,1.296333333333333,0.8666666666666667,883.517073463583,-0.05649430445299146,100.0,3000.0,15.57958998502024,0.0,0.08,0.08,2239595,-0.011443433029908821,0.0038461538461538325,0.0004050364957264921,0.0004050364957264921,True,tau_pSA,0.08,15.57958998502024,0.08,0.0,True
