size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,7,19200,0.359375,1,29,0.4375,46,46.3240625,0.0,0.24535101996527778,0.20516472010104236,0.30511423744548555,0.36809934644203085,0.5827245057723641,0.8397846606525236,-0.0005952743283433838,46.320625,0.48250651041666665,0.0,0.401728515625,0.24583441840277778,0.20546084370125867,0.3059640213926854,0.36876970963777655,0.5825631950233756,0.8395355902777778,-0.0011067944253519027,6.268134159862863e-18,2.890866980115777e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19312052910419034,0.19391495224388164,0.4853033107050874,0.48450888756539584,0.3883506944444444,0.38815863715277776,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,8,19200,0.4479166666666667,1,28,0.3802083333333333,43,46.3675,0.0,0.24532796223958334,0.20252083414511143,0.3110782741614711,0.36851916475120083,0.5845283792518743,0.8419456408620284,0.0002217321574510204,46.25020833333333,0.48177300347222224,0.0,0.39486436631944444,0.24532552083333334,0.20270611925070692,0.31064218015339334,0.3696527359768904,0.5858227695193668,0.8420627170138889,4.801166271225611e-05,6.503044630568055e-18,3.0357660829594124e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19888071233749144,0.1987928954163102,0.53063928571052,0.5307271026317011,0.38620930989583335,0.38616861979166667,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,9,19200,0.3854166666666667,1,28,0.421875,51,46.29380208333333,0.0,0.24540879991319445,0.20257492200802357,0.31121282881474643,0.36693885621642464,0.5824666504778379,0.8395002211050914,-0.0004944915197257234,46.25333333333333,0.48180555555555554,0.0,0.3925998263888889,0.24479709201388888,0.20151166799754902,0.31176465710945467,0.36916254570848145,0.5847792645331306,0.8404470486111111,-0.0011338526985236054,6.6555557361643495e-18,3.139849491518021e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1933395458273071,0.19394638649561902,0.5344562712545287,0.5338494305862168,0.38769287109375,0.3872829861111111,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,10,19200,0.3854166666666667,1,28,0.328125,49,46.3590625,0.0,0.24506374782986112,0.20279905838996898,0.30957659625357486,0.36892184146631946,0.5853468803068183,0.8436119876170532,-0.0013735320397496402,46.437916666666666,0.4837282986111111,0.0,0.3954947916666667,0.24552625868055555,0.20307448739097578,0.31040963075344513,0.3694749362400322,0.5851704941500705,0.843115234375,-0.0009955676631013151,7.297403422275769e-18,3.1057648857205077e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20018476646118505,0.20067184216582434,0.5236998041550104,0.5232127284503711,0.3857541232638889,0.38531467013888887,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,11,19200,0.46875,1,28,0.40625,44,46.34848958333333,0.0,0.24605685763888888,0.20592715828685618,0.3056089936882733,0.36644060339882367,0.5809596138303916,0.8382375562290273,-0.0005328605157379298,46.44479166666667,0.48379991319444443,0.0,0.4017654079861111,0.246328125,0.20587707158520593,0.3065592498467339,0.36787183241667964,0.5817792260608635,0.8378689236111111,5.080621983435738e-05,6.672902970924118e-18,3.56124273589072e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19149255791203346,0.19299025967885827,0.48294236084375197,0.48144465907692696,0.38999701605902776,0.388935546875,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,12,19200,0.390625,1,29,0.328125,41,46.28854166666667,0.0,0.24559163411458335,0.20463612654321686,0.3070373261728142,0.3663994115404141,0.5811583697887338,0.838515682968417,-0.0005065610202853331,46.21895833333333,0.48144748263888887,0.0,0.39895073784722224,0.24578559027777777,0.2044573625917334,0.3080462896229109,0.3684243049056752,0.5827057092010706,0.8387055121527778,0.0002292496019036008,6.38378239159465e-18,2.561608332859085e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.191992059250265,0.19363693967157786,0.49882961687433713,0.4971847364530239,0.38887315538194445,0.38777452256944445,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,13,19200,0.4270833333333333,1,30,0.375,50,46.303125,0.0,0.24535481770833334,0.20522052450297468,0.30499935931588423,0.36599028160371383,0.5807944061627766,0.8376080735034114,0.0015250782348256331,46.23645833333333,0.48162977430555554,0.0,0.40204318576388887,0.24519314236111112,0.2050279360021485,0.30493173089639125,0.36753755222935236,0.5827483010014486,0.8382725694444444,0.0013924832691410715,5.608939238991676e-18,3.0531133177191805e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1910750418388294,0.19131219873203936,0.4853830681276331,0.485145911234423,0.38975423177083335,0.389423828125,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,14,19200,0.34375,1,24,0.4166666666666667,52,46.28536458333333,0.0,0.2436203342013889,0.19982564263682803,0.3119952810098861,0.37028331465057374,0.5871497910756782,0.8446559640805474,0.0018810709907448563,46.236666666666665,0.48163194444444446,0.0,0.3909722222222222,0.24346137152777778,0.19987492784298633,0.31135589080938264,0.37117380823950896,0.5891216174214622,0.8455729166666667,0.0016642581928616273,5.8922774067345545e-18,3.301757015942523e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20633815724449525,0.20542338274268726,0.5482065885162041,0.5491213630180127,0.3821172417534722,0.3826909722222222,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,15,19200,0.4166666666666667,1,28,0.3697916666666667,49,46.3109375,0.0,0.24520589192708334,0.2037417463797222,0.30785604281906725,0.36807628667043035,0.584227868291948,0.8413493858757666,-0.00010199607068167075,46.31979166666667,0.4824978298611111,0.0,0.39785698784722223,0.24553819444444444,0.2038794711319269,0.3085832567450004,0.36804209761006,0.5841244506581832,0.8407443576388889,0.00050353288758937,6.701815028857065e-18,4.0939474033052645e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19673361541592893,0.1979207636564773,0.5066798506125959,0.5054927023720476,0.38670247395833335,0.385986328125,0.0
N192_M96,shuffled,lambda_pSA_shuffled_derangement,0.95,20260826,2.5,16,19200,0.4270833333333333,1,30,0.3333333333333333,36,46.3090625,0.0,0.246083984375,0.20583278120149937,0.30590024412942907,0.3639401638971086,0.5774374857539867,0.8346568863370373,-0.0003958468666711733,46.37916666666667,0.48311631944444444,0.0,0.4005447048611111,0.24635308159722222,0.2054802455213709,0.30752310080375356,0.36586734563397166,0.5784816514485386,0.8352398003472222,9.483730229033827e-05,8.557969148152249e-18,3.731118016905727e-18,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18402225348275572,0.18689356537073837,0.4929427880901036,0.49007147620212094,0.3927349175347222,0.39093967013888886,0.0
