size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20292914,3.0,0.035145833333333334,0.446,0.38,5.636,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20300936,2.0,0.08726041666666666,0.884,0.862,14.183,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20300936,2.5,0.05502083333333333,0.67,0.626,9.35,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20300936,3.0,0.03247916666666667,0.432,0.365,5.348,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20308958,2.0,0.08663541666666667,0.882,0.866,14.055,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20308958,2.5,0.060395833333333336,0.706,0.664,10.14,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20308958,3.0,0.03573958333333333,0.451,0.389,5.735,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20316980,2.0,0.08829166666666667,0.884,0.869,14.244,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20316980,2.5,0.0580625,0.649,0.617,9.714,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20316980,3.0,0.033354166666666664,0.438,0.38,5.486,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20325002,2.0,0.08671875,0.876,0.852,13.999,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20325002,2.5,0.06470833333333334,0.724,0.691,10.718,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20325002,3.0,0.035416666666666666,0.463,0.402,5.678,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20333024,2.0,0.08546875,0.864,0.845,13.979,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20333024,2.5,0.06013541666666666,0.686,0.65,9.929,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20333024,3.0,0.0336875,0.438,0.379,5.602,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20260826,2.0,0.051,0.489,0.379,5.844,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20260826,2.5,0.0276875,0.308,0.192,2.81,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20260826,3.0,0.015875,0.221,0.075,1.046,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20268848,2.0,0.0529375,0.513,0.402,6.372,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20268848,2.5,0.024791666666666667,0.291,0.174,2.524,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20268848,3.0,0.013677083333333333,0.191,0.078,1.069,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20276870,2.0,0.05310416666666667,0.518,0.398,6.096,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20276870,2.5,0.028260416666666666,0.317,0.195,2.723,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20276870,3.0,0.013322916666666667,0.19,0.062,0.953,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20284892,2.0,0.053,0.504,0.399,6.298,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20284892,2.5,0.028739583333333332,0.3,0.189,2.881,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20284892,3.0,0.01303125,0.207,0.066,0.881,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20292914,2.0,0.05144791666666667,0.501,0.39,5.987,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20292914,2.5,0.025802083333333333,0.294,0.178,2.549,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20292914,3.0,0.01540625,0.197,0.076,1.135,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20300936,2.0,0.05315625,0.528,0.397,6.205,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20300936,2.5,0.023427083333333334,0.304,0.159,2.095,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20300936,3.0,0.0131875,0.191,0.068,0.962,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20308958,2.0,0.05213541666666666,0.489,0.38,6.007,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20308958,2.5,0.025520833333333333,0.289,0.171,2.54,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20308958,3.0,0.013364583333333332,0.185,0.066,0.899,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20316980,2.0,0.05516666666666667,0.52,0.421,6.628,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20316980,2.5,0.029697916666666668,0.327,0.18,2.591,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20316980,3.0,0.01228125,0.202,0.063,0.899,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20325002,2.0,0.053260416666666664,0.518,0.404,6.195,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20325002,2.5,0.03128125,0.337,0.199,2.945,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20325002,3.0,0.011739583333333333,0.186,0.063,0.833,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20333024,2.0,0.051541666666666666,0.502,0.388,6.008,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20333024,2.5,0.02853125,0.325,0.191,2.683,0.01286875,0.148,1000,96000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,20333024,3.0,0.011708333333333333,0.176,0.061,0.816,0.005091666666666667,0.0716,1000,96000
