size,code_id,scope,EbNo_dB,metric,mean_paired_difference,ci95_low,ci95_high,ci_sufficient_for_directional_conclusion,additional_trials_required,criterion
N288_M144,new_06,per_EbNo,2.5,BER,0.3178020833333333,0.31464522176092163,0.320958944905745,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,per_EbNo,2.5,FER,0.946,0.9383101443225288,0.9536898556774711,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,per_EbNo,3.0,BER,0.31672569444444443,0.31477761140785665,0.3186737774810322,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,per_EbNo,3.0,FER,0.9950000000000001,0.9899416628080703,1.00005833719193,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,pooled_across_EbNo,,BER,0.3143622685185185,0.3118409771423066,0.31688355989473044,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,pooled_across_EbNo,,FER,0.9260000000000002,0.9161491008587119,0.9358508991412884,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,2.0,BER,0.31072916666666667,0.3067592417283025,0.31469909160503085,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,2.0,FER,0.8400000000000001,0.8140974498579485,0.8659025501420516,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,2.5,BER,0.3194652777777777,0.31711757270716895,0.3218129828483865,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,2.5,FER,0.9569999999999999,0.9434900408568174,0.9705099591431823,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,3.0,BER,0.3163576388888888,0.31319129336263607,0.3195239844151415,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,per_EbNo,3.0,FER,0.9970000000000001,0.9935444978557783,1.0004555021442219,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,pooled_across_EbNo,,BER,0.31551736111111117,0.313727874392146,0.31730684783007634,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_07,pooled_across_EbNo,,FER,0.9313333333333332,0.9206575799854503,0.9420090866812162,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,2.0,BER,0.3120381944444444,0.3078257758377234,0.3162506130511654,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,2.0,FER,0.8440000000000001,0.8257775006678252,0.862222499332175,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,2.5,BER,0.316,0.31408561180407224,0.31791438819592777,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,2.5,FER,0.9579999999999999,0.9479963646319972,0.9680036353680025,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,3.0,BER,0.31720138888888894,0.31511508895893253,0.31928768881884534,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,per_EbNo,3.0,FER,0.9949999999999999,0.98994166280807,1.0000583371919298,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,pooled_across_EbNo,,BER,0.3150798611111111,0.31338538312997616,0.316774339092246,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_08,pooled_across_EbNo,,FER,0.9323333333333332,0.9260697037764549,0.9385969628902116,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,2.0,BER,0.30966666666666665,0.30648208474049055,0.31285124859284275,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,2.0,FER,0.835,0.8081807405184324,0.8618192594815676,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,2.5,BER,0.3180868055555556,0.315503719569366,0.32066989154174513,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,2.5,FER,0.953,0.9408179108583908,0.9651820891416091,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,3.0,BER,0.3168229166666667,0.31531979979118513,0.3183260335421482,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,per_EbNo,3.0,FER,0.994,0.9889981823159987,0.9990018176840013,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,pooled_across_EbNo,,BER,0.31485879629629626,0.3135993856744069,0.3161182069181856,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_09,pooled_across_EbNo,,FER,0.9273333333333331,0.9186408102121301,0.9360258564545362,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N96_M48,existing_00,per_EbNo,2.0,BER,0.034583333333333334,0.031014492234641308,0.03815217443202536,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N96_M48,existing_00,per_EbNo,2.0,FER,0.305,0.2729638644511111,0.3370361355488889,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N96_M48,existing_00,per_EbNo,2.5,BER,0.018583333333333334,0.015291430969099294,0.021875235697567372,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
