size,initialization,variant,seed,n_trajectories,initial_BER_mean,initial_BER_n,initial_syndrome_weight_fraction_mean,initial_syndrome_weight_fraction_n,initial_channel_alignment_mean,initial_channel_alignment_n,initial_hard_channel_disagreement_rate_mean,initial_hard_channel_disagreement_rate_n,decoded_BER_mean,decoded_BER_n,decoded_FER_mean,decoded_FER_n,decoded_syndrome_weight_mean,decoded_syndrome_weight_n,final_state_BER_mean,final_state_BER_n,mean_state_BER_mean,mean_state_BER_n,late_state_BER_mean,late_state_BER_n,mean_syndrome_weight_fraction_mean,mean_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_n,mean_channel_alignment_mean,mean_channel_alignment_n,late_channel_alignment_mean,late_channel_alignment_n,reached_correct_mean,reached_correct_n,first_correct_cycle_mean,first_correct_cycle_n,correct_residence_fraction_mean,correct_residence_fraction_n,correct_escape_probability_mean,correct_escape_probability_n,correct_return_probability_mean,correct_return_probability_n,correct_mean_return_time_mean,correct_mean_return_time_n
N288_M144,all_zero,shuffled,20308958,20,0.5045138888888889,20,0.0,20,-0.003253149446749383,20,0.4989583333333334,20,0.3975694444444444,20,1.0,20,52.7,20,0.4064236111111111,20,nan,0,0.40079714626736107,20,0.4870552571614583,20,0.48700303819444446,20,0.2745556165907118,20,0.2744933810763889,20,0.22918151987847288,20,0.22906159300762297,20,0.1971448339798453,20,0.19754007455466743,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,all_zero,shuffled,20316980,20,0.501736111111111,20,0.0,20,-0.0012298837153197739,20,0.5006944444444443,20,0.4,20,1.0,20,54.3,20,0.40954861111111107,20,nan,0,0.4013024088541667,20,0.48699570041232637,20,0.48694867621527776,20,0.27448902045355905,20,0.2744953342013889,20,0.22922086576498205,20,0.22925432417726427,20,0.1967530287027755,20,0.19680584120420133,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,all_zero,shuffled,20325002,20,0.49340277777777775,20,0.0,20,0.0029391256008699613,20,0.4984375,20,0.3866319444444445,20,1.0,20,53.55,20,0.39236111111111105,20,nan,0,0.39963015407986113,20,0.487089599609375,20,0.4869737413194445,20,0.27447502983940975,20,0.2742326388888888,20,0.22865158608457553,20,0.22839613436957312,20,0.198787847584058,20,0.19904566954890357,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,all_zero,shuffled,20333024,20,0.49930555555555556,20,0.0,20,0.006997107328437549,20,0.49687500000000007,20,0.3927083333333333,20,1.0,20,53.7,20,0.4072916666666667,20,nan,0,0.4008827311197917,20,0.4869378119574653,20,0.4867070855034722,20,0.274353271484375,20,0.2742575141059027,20,0.22904327613550834,20,0.2288929287314549,20,0.19882707333133925,20,0.19905761279012676,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
N288_M144,channel_hard,additive,20260826,20,0.0920138888888889,20,0.34305555555555556,20,0.8107560731668515,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.007572455512152777,20,0.0,20,0.005811252170138889,20,0.0,20,0.0009836290147569446,20,0.0,20,0.0004979508117122065,20,0.0,20,0.7277035459364554,20,0.7284227110949448,20,1.0,20,2079.45,20,1.0,20,0.0,20,nan,0,nan,0
N288_M144,channel_hard,additive,20268848,20,0.09496527777777777,20,0.3538194444444444,20,0.8099806586242486,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0036469319661458334,20,0.0,20,0.003388699001736111,20,0.0,20,0.0006815931532118053,20,0.0,20,0.0003411192243292826,20,0.0,20,0.7233530682087794,20,0.7240736068072509,20,1.0,20,973.5,20,0.9999546172059984,20,1.9750355506399115e-06,20,1.0,1,23.0,1
N288_M144,channel_hard,additive,20276870,20,0.09340277777777778,20,0.35416666666666663,20,0.8091930082448832,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0049059651692708334,20,0.0007298719618055555,20,0.004610243055555555,20,0.0006056857638888889,20,0.0008222113715277779,20,4.836697048611111e-05,20,0.0004132951812357206,20,2.4445475852659848e-05,20,0.7290482130334712,20,0.7299738867428422,20,1.0,20,2062.45,20,0.9999822493218458,20,3.9560983326224e-06,20,1.0,2,4.5,2
N288_M144,channel_hard,additive,20284892,20,0.09027777777777778,20,0.34513888888888883,20,0.814339607447155,20,0.0,20,0.00625,20,0.05,20,0.3,20,0.00625,20,0.01105318874782986,20,0.005570882161458334,20,0.007208075629340277,20,0.0029388563368055553,20,0.0011100667317708334,20,0.0003382975260416667,20,0.0005829508186336355,20,0.00019067610339370495,20,0.729901035739706,20,0.7300386372622184,20,0.95,20,1585.578947368421,19,0.9999895651220009,19,4.213988662653734e-06,19,1.0,2,2.5,2
N288_M144,channel_hard,additive,20292914,20,0.09583333333333334,20,0.3604166666666667,20,0.8066498060507963,20,0.0,20,0.011458333333333334,20,0.1,20,0.4,20,0.011805555555555555,20,0.017718627929687498,20,0.010813937717013888,20,0.01084011501736111,20,0.005295193142361111,20,0.0015439860026041667,20,0.0005730794270833333,20,0.0008320629281779408,20,0.0003307933777879013,20,0.7215878874277539,20,0.7223801082606799,20,0.9,20,1795.888888888889,18,0.9999693256910483,18,2.192318991182493e-06,18,1.0,1,14.0,1
N288_M144,channel_hard,additive,20300936,20,0.08871527777777778,20,0.3413194444444444,20,0.8062384082866183,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.003909566243489582,20,0.0,20,0.003555107964409722,20,0.0,20,0.0007000664605034722,20,0.0,20,0.00035031235929154425,20,0.0,20,0.7271242390083084,20,0.7279614159742968,20,1.0,20,1131.95,20,1.0,20,0.0,20,nan,0,nan,0
N288_M144,channel_hard,additive,20308958,20,0.09513888888888887,20,0.36111111111111116,20,0.8084384904009975,20,0.0,20,0.01111111111111111,20,0.1,20,0.4,20,0.010763888888888889,20,0.019409335666232635,20,0.012164035373263889,20,0.011685479058159722,20,0.005396104600694444,20,0.001681410047743055,20,0.000641574435763889,20,0.0009061987838187967,20,0.00036505931949865734,20,0.7255749134951213,20,0.7254150536022516,20,0.9,20,2336.6666666666665,18,0.9999978097553497,18,2.190417362124179e-06,18,1.0,1,1.0,1
N288_M144,channel_hard,additive,20316980,20,0.09166666666666667,20,0.3631944444444445,20,0.8082626671606207,20,0.0,20,0.005729166666666666,20,0.05,20,0.25,20,0.005555555555555555,20,0.00840432400173611,20,0.005608506944444445,20,0.005525580512152778,20,0.0025936414930555554,20,0.0009573703342013887,20,0.00032194010416666666,20,0.0005022988542292549,20,0.00018136798390664682,20,0.7212422000970726,20,0.7222531228564175,20,0.95,20,772.3157894736842,19,1.0,19,0.0,19,nan,0,nan,0
N288_M144,channel_hard,additive,20325002,20,0.09079861111111111,20,0.3496527777777777,20,0.8127899079373122,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0052868381076388886,20,0.0,20,0.0040903320312499995,20,0.0,20,0.0007437405056423611,20,0.0,20,0.0003762200508644618,20,0.0,20,0.731549525222307,20,0.7321739488319168,20,1.0,20,1403.0,20,0.999751951550125,20,1.1896892858041166e-05,20,1.0,4,26.166666666666668,4
N288_M144,channel_hard,additive,20333024,20,0.096875,20,0.35,20,0.8131595581772663,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.008481750488281248,20,0.0030714246961805556,20,0.006515828450520833,20,0.0018736436631944444,20,0.0010672607421874998,20,0.00023092990451388892,20,0.0005513210402554947,20,0.00012274878667434315,20,0.7237064523994363,20,0.7241009530102432,20,1.0,20,2670.45,20,1.0,20,0.0,20,nan,0,nan,0
N288_M144,channel_hard,gain_only,20260826,20,0.0920138888888889,20,0.34305555555555556,20,0.8107560731668515,20,0.0,20,0.3164930555555555,20,1.0,20,47.15,20,0.3407986111111111,20,0.3398610500759548,20,0.3401775987413194,20,0.4511610107421875,20,0.4512625325520833,20,0.23002684868706597,20,0.2301636013454861,20,0.17426593445350197,20,0.17445013138262905,20,0.3162946249883737,20,0.31567464005708834,20,0.0,20,nan,0,nan,0,nan,0,nan,0,nan,0
