size,initialization,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,channel_sha256,codeword_sha256,initial_state_sha256,initialization_seed_description,response_state_zero,initial_BER,initial_syndrome_weight,initial_syndrome_weight_fraction,initial_valid,initial_correct,initial_channel_alignment,initial_hard_channel_disagreement_rate,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,10,19200,0524a5190ed84c8957c2853926b3483eff30bb438085290f15e428f4730d0da6,3119503c33b3e68ec63125f2a20d88293501d68bf3087c3380f2d35a9d863760,51a031fa32f80fdb0f834e2ca36271e5ae782ae3950c029164814bc79d230674,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4947916666666667,51,0.53125,0,0,0.005717026546735657,0.4791666666666667,0.3697916666666667,1,25,0.3854166666666667,40,0.3987765842013889,0.3982790798611111,0.48214409722222223,0.4829557291666667,0.24482286241319445,0.24515625,0.20360108991038786,0.20371792929839366,0.20450116338082402,0.20537238374486855,0.49575924427741486,0.4948880239133705,0.38403103298611113,0.3832834201388889,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,11,19200,7d3a214a884c6079ca8ae25a808e35eea749f7e07e0bd43b1040c64f7dd3cf13,23a99a81b811da9021a0619e0aa3beccaf7e3863a6e9dea675a5519dad104730,9cee4fb1b44da37a5924f3df3124f4dc6435e6651bd15f5ed5451b2119d8e725,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.53125,54,0.5625,0,0,-0.09855050004888632,0.5677083333333334,0.4010416666666667,1,29,0.3802083333333333,49,0.3992705620659722,0.39754774305555557,0.4822900390625,0.48040364583333334,0.24448323567708333,0.243349609375,0.2034847595393994,0.20196427703042233,0.19303125028099588,0.19665302934743328,0.4920890757203452,0.488467296653908,0.3876348198784722,0.3851128472222222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,12,19200,e13d30c66ee695c729c1bdc61352bee9f202a4e2ca3e565adb0bf282741b82ad,a43bee0cad86c00a56a8d33647deca81093ccca1c15ef8370024b52ed7a732a8,138fc38c2cf680784f3985d319fc633d8afbb73cc4f592fabbef02ba80072f05,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5104166666666666,46,0.4791666666666667,0,0,-0.014055336509829403,0.5,0.4166666666666667,1,30,0.3854166666666667,48,0.3894493272569444,0.388740234375,0.4819563802083333,0.4826931423611111,0.24365234375,0.243955078125,0.1995317033291717,0.19954946798879528,0.20541203957485227,0.2068535338223189,0.5542869633646443,0.5528454691171776,0.3831282552083333,0.3822775607638889,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,13,19200,82bf3c7b6413c9cac85b48b9877ac7cd22c64f549a20b1b278286c47da881126,79671359d0df5a26be7a0d809bd0185c33a868cd7945304aa4722207bd3f9b45,1add5d7438fab3916308a684f58ececa589aceedd9abef06b08cfb9b623e1890,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,52,0.5416666666666666,0,0,0.015040250853499545,0.5,0.4114583333333333,1,27,0.4114583333333333,47,0.40899169921875,0.4082573784722222,0.48262749565972224,0.48217881944444446,0.24601426866319445,0.24614040798611111,0.20812896628138716,0.2079733890295761,0.18909630313202344,0.19055362911702148,0.44009743348153685,0.43864010749653864,0.39002848307291665,0.3889800347222222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,14,19200,d76cc5624548fa7a0dd481257188a1c9d317c6f6330dd5e50a4c601ea21f4748,f6c38f3a3548b1d547eaf35d4fdd6be96d2622dfb1c78dcfe1baf01965f42e89,8c73441f1d56e2ddfe13493b0565602b24333a07131357a9aa4c7bbb9ca6da16,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.515625,55,0.5729166666666666,0,0,-0.0015369266073342047,0.5104166666666666,0.4166666666666667,1,28,0.4375,42,0.3954541015625,0.39537000868055555,0.4820551215277778,0.48199435763888887,0.24535508897569444,0.2449858940972222,0.20292311302742594,0.20259425158641284,0.19552783365592938,0.1957175019886691,0.5318281753709806,0.5316385070382406,0.3879047309027778,0.3881890190972222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,15,19200,008e5c9f053f712c9c338b2b01e4fd797197a1fc002d560d0df76efaaa42604f,a47aaa8bc8af298dc3337946cc30e5606f8e1a068c204a83cfb41d7ef8b6bb4e,48111f918cfa8f1f9a42cea6dacb06fcd809c009df6facd0df0aec98ba3ac3f7,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4739583333333333,49,0.5104166666666666,0,0,0.08705842363025035,0.4739583333333333,0.3854166666666667,1,28,0.3697916666666667,51,0.3960614691840278,0.39419379340277777,0.48192762586805554,0.4818511284722222,0.24469346788194443,0.2448122829861111,0.20257876271313577,0.2020469428403571,0.1960839915826183,0.19781741494331215,0.5233862136967745,0.5216527903360811,0.3878648546006944,0.3867914496527778,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,16,19200,d66941e86acb9685cfc6ef1bf9786803f39f8db77d4e2ec2c4f986a296765faf,163156f6f4c0b2c6780cc9dce911cb04fbd7356796a04e04004dd6b77d68b24f,a8cfadce5298fa0f0aadefde9d2de9711653b0ad0c447dc79f2c84611c8c5eda,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.453125,45,0.46875,0,0,0.06618745025633352,0.4583333333333333,0.3802083333333333,1,27,0.3645833333333333,52,0.3936385091145833,0.3928754340277778,0.48324815538194443,0.48265625,0.24583957248263888,0.24538519965277777,0.20271474548534094,0.20208535515199608,0.1931724537475425,0.19410756311751412,0.5418140595884577,0.5408789502184861,0.38827284071180557,0.38817274305555555,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,17,19200,fec0fd2c08cacdd125cf398b7f7531d6960e0f2d614765bbeed24d845d21819c,30215f33036a50eda781d766fdd29776e82c37ca2412039c664dc22d4fd215c0,a997452770cf98224bdcf75969fc142a22b64243b78b204efba9b8956b0ed557,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5,46,0.4791666666666667,0,0,0.0009216117629664381,0.4739583333333333,0.4166666666666667,1,28,0.4166666666666667,44,0.4001600477430556,0.4002278645833333,0.48255425347222225,0.4832638888888889,0.24576117621527777,0.24683485243055556,0.20485348904729214,0.20577439027699634,0.1900368406525118,0.1887764811129762,0.5065590440780964,0.5078194036176318,0.3899191623263889,0.3907161458333333,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,18,19200,d2f8de8cfbd45d08b3ef2d8c91dba2460367bf7077f3f875f866b2cfa99bf39b,7987f36f67cf690088fa5bf525d3eed0d9b18627da6dd2f14a83e4a8ea698c40,06be25ac9b921634c8640125a0b96989dab0d74a4a035e2db558d55fdd8ef85d,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5677083333333334,47,0.4895833333333333,0,0,-0.07144105786614527,0.515625,0.4427083333333333,1,27,0.4479166666666667,48,0.40334092881944444,0.4033843315972222,0.48290147569444447,0.4830316840277778,0.2464504665798611,0.24689995659722222,0.20652229755749144,0.20691975571341795,0.18633060879401803,0.18606552583835537,0.4860436679627734,0.4863087509184357,0.39206976996527776,0.3919585503472222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20292914,19,19200,b48470f0da4cfdcfe2fbb017a0e64ac0b9daec2c3a8e14b78e83520221264d9e,881673e2cd778bf499bb70d5237886967745642230e38d507ad2e61c35231cc4,3fc6780856d86533da3b9c89ce6ffcf3fcf4cac2c0ca30b793a34ef1dfbfa76d,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,44,0.4583333333333333,0,0,-0.005561921152705873,0.5104166666666666,0.4166666666666667,1,28,0.3697916666666667,53,0.4008148871527778,0.4006662326388889,0.48257703993055556,0.4823828125,0.2453974066840278,0.24596571180555554,0.2047728802755145,0.20519714235021055,0.19596581709943778,0.1968345038973997,0.48951090390054963,0.48864221710258765,0.3865625,0.38607421875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20300936,0,19200,7a645b40ca67d6deaf1fbf0c7559fb9def40ff9f58efb8b363ed7d148c52c7c7,3bad350ada14f28b57abec49652ccef2e7a79641a42289202552d52e26f8dafb,74ccb74411070844e48540fa578c8e7b2a049b476630111fadd56deb720495b4,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4739583333333333,47,0.4895833333333333,0,0,0.013120051759575724,0.4895833333333333,0.4166666666666667,1,28,0.4270833333333333,52,0.39755995008680556,0.39766167534722224,0.4829682074652778,0.48412977430555554,0.24566975911458333,0.24621961805555556,0.20389440685582752,0.2043864784774326,0.1867538611482315,0.18723140002741093,0.5217599037851571,0.521282364905978,0.3895282660590278,0.3892632378472222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20300936,1,19200,b1f43aa55a5c42eaf06a2ddc1180258e4bbc28a92f645b8709b9e3fcf05a2db5,dfa9cb15b25dcf83176f031009eef1d46a70641055c6f40d97b0d3d27d4c41c2,60d3fe1be5b5347c1496eba0341e608b0eba999cb88ca2919235d4ab6c360b98,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.6197916666666666,53,0.5520833333333334,0,0,-0.167761092978194,0.6302083333333334,0.390625,1,27,0.3854166666666667,40,0.3944512261284722,0.39334852430555556,0.48275010850694444,0.4823871527777778,0.24536865234375,0.24555338541666666,0.20259424347631314,0.2023852961587717,0.19722742847659627,0.19954738526297489,0.536880393876333,0.5345604370899546,0.38797444661458336,0.3871115451388889,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20300936,2,19200,70dcb80cf12ebd101909e4f3fa1425a82fdcacddbc3fd20cb4995bcd182d4874,bbf1053b447d21967d499477c1a72cb866d8cf77b2bee664662c3aea4a511beb,b3ecabdb58e64f9d8bf169b68167ded9ab0ed19772650cbf4d2e19ab58030291,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4635416666666667,47,0.4895833333333333,0,0,0.016078861515948267,0.46875,0.4166666666666667,1,28,0.3697916666666667,47,0.40865478515625,0.40771375868055554,0.4832568359375,0.48102647569444446,0.2473687065972222,0.2458810763888889,0.2091552109552795,0.20756625049235589,0.1745920209169777,0.17571318093810423,0.45761087279752094,0.4564897127763944,0.3966799587673611,0.3961360677083333,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20300936,3,19200,9c5d98d8b4d6cc2eca523d1256a8998fc1c56f1cc17de340c6caf4922e8fae59,870450b5132f070e91dc7cde80f3593ac8d272152d3038e94d2287616706edf4,ece7383fbf4616d623026868c3f444294c24b5777fb62d79427208a3a411bff7,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5104166666666666,54,0.5625,0,0,0.005135311989654192,0.484375,0.3541666666666667,1,28,0.3645833333333333,44,0.40160671657986113,0.4004709201388889,0.4827750651041667,0.4836024305555556,0.2463449435763889,0.24651041666666668,0.20583492641742174,0.2055835082892927,0.18420996357837294,0.1854845585824988,0.5045011507942383,0.5032265557901121,0.3927606879340278,0.3920442708333333,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,shuffled,lambda_pSA_shuffled_derangement,0.95,20300936,4,19200,d6f2ca9c97fd434f1fd3fa990bb09d73ba6013597faf407da2f4e7efec3e5fa8,5298623011146da7f46409ada7a5423eb468e6bf94d82e4472f91c2224d23bae,cbb0052003a822d4e1b1cdf17e8a854f68ccad011126b4d8d0a2f24167461f31,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5260416666666666,45,0.46875,0,0,-0.037425934637941555,0.5260416666666666,0.3489583333333333,1,31,0.3802083333333333,39,0.39193983289930556,0.39084309895833336,0.48219346788194445,0.48329210069444445,0.24460991753472222,0.2449273003472222,0.2011358338631066,0.20103954029376453,0.20289139526408914,0.2041646008048179,0.5463650797394963,0.5450918741987676,0.38396728515625,0.3829763454861111,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
