size,initialization,seed,trial_index,channel_sha256,codeword_sha256,initial_state_sha256,initialization_seed_description,response_state_zero,initial_BER,initial_syndrome_weight,initial_syndrome_weight_fraction,initial_valid,initial_correct,initial_channel_alignment,initial_hard_channel_disagreement_rate
N192_M96,channel_hard,20260826,9,d8d48fefe305dd84779b516bdc9ca3a105b4536671cd0faeab9a15567b54fa0d,a0c97a9620b40c0b999089ff5dfd7f27e3f168ef99916bd222cbd0304f1f3c1a,1ee34e58741b864560f885c52c4dad1d76ef3ce6f4a404523c8a062d6a966cd8,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.06770833333333333,35,0.3645833333333333,0,0,0.7773883038652114,0.0
N192_M96,all_zero,20260826,10,d02201c86b33be58e3c2f3ec8cc007ccf8550d86cb71296bd69a7b6704b95060,5c609811a9bf5d4441318c272f8c15cb58edb13269365db1abebedd867df4407,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.5104166666666666,0,0.0,1,0,-0.011164043014256645,0.5104166666666666
N192_M96,random,20260826,10,d02201c86b33be58e3c2f3ec8cc007ccf8550d86cb71296bd69a7b6704b95060,5c609811a9bf5d4441318c272f8c15cb58edb13269365db1abebedd867df4407,74782093995fcfeabb5def9983cb77c79fa2f93a154ac32b348f4c9640661d88,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5,50,0.5208333333333334,0,0,0.006895022652859284,0.4895833333333333
N192_M96,channel_hard,20260826,10,d02201c86b33be58e3c2f3ec8cc007ccf8550d86cb71296bd69a7b6704b95060,5c609811a9bf5d4441318c272f8c15cb58edb13269365db1abebedd867df4407,98320347447d5bc7c6c2720d0acef892a21a8ccc2621b0e2ffdd3de63dced604,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.09375,28,0.2916666666666667,0,0,0.7978281669638599,0.0
N192_M96,all_zero,20260826,11,ebd86a614a703dd980e487f16284a7163af6b03b572a246ff0d142d95ccc4e6c,c5cec23d10d8c148fffb4bcad29518fe00375baa7dc7f752187a3b60a5698456,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.5208333333333334,0,0.0,1,0,0.00011704476192067372,0.5052083333333334
N192_M96,random,20260826,11,ebd86a614a703dd980e487f16284a7163af6b03b572a246ff0d142d95ccc4e6c,c5cec23d10d8c148fffb4bcad29518fe00375baa7dc7f752187a3b60a5698456,ce9d283bfdd4a36e3123fd4e7dac5045cd5abaee662e9f5ea744e7222fc5c51b,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5104166666666666,52,0.5416666666666666,0,0,0.01307471506055496,0.484375
N192_M96,channel_hard,20260826,11,ebd86a614a703dd980e487f16284a7163af6b03b572a246ff0d142d95ccc4e6c,c5cec23d10d8c148fffb4bcad29518fe00375baa7dc7f752187a3b60a5698456,225f7831ff960e8a86c5c073e552e28ac5221a064481df3ea97aef28eda42d37,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.13020833333333334,43,0.4479166666666667,0,0,0.7627189777182775,0.0
N192_M96,all_zero,20260826,12,bfa8eebdbedd2762d10ff0661697d213668fe1b107281278d873cadb471c70b4,34166d6cca7a1d8f842e5a0ffe482ca0083d1bd5d6a64ec65ad18dd6f5c7682e,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4895833333333333,0,0.0,1,0,0.03261745377011207,0.4739583333333333
N192_M96,random,20260826,12,bfa8eebdbedd2762d10ff0661697d213668fe1b107281278d873cadb471c70b4,34166d6cca7a1d8f842e5a0ffe482ca0083d1bd5d6a64ec65ad18dd6f5c7682e,a3b1500cff6ab320c50f548a4dc16971d2a6a07d47ff2bd0225935975853733c,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.453125,53,0.5520833333333334,0,0,0.06749736618344021,0.46875
N192_M96,channel_hard,20260826,12,bfa8eebdbedd2762d10ff0661697d213668fe1b107281278d873cadb471c70b4,34166d6cca7a1d8f842e5a0ffe482ca0083d1bd5d6a64ec65ad18dd6f5c7682e,cc5a56c3ec21313e4823c8d33fc6116bdfb9616b7c3d9349f90f2c6772b9c900,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.08854166666666667,37,0.3854166666666667,0,0,0.768524579785816,0.0
N192_M96,all_zero,20260826,13,bc07ffd6aab18d1c80324a4b0b898f497f025c9cddcff3c1a3ff47fc302ce619,c39b8dad44cc9acc0c550873bb6afca1f8c581f6428e4ac3f9bfd4c61c92a125,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.5,0,0.0,1,0,-0.08209864286067421,0.5260416666666666
N192_M96,random,20260826,13,bc07ffd6aab18d1c80324a4b0b898f497f025c9cddcff3c1a3ff47fc302ce619,c39b8dad44cc9acc0c550873bb6afca1f8c581f6428e4ac3f9bfd4c61c92a125,3d8378507a9fe2a2c62d44ac17c032e20c6652a068033ba171ffd3f0c601382e,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4635416666666667,49,0.5104166666666666,0,0,0.06517589525730923,0.46875
N192_M96,channel_hard,20260826,13,bc07ffd6aab18d1c80324a4b0b898f497f025c9cddcff3c1a3ff47fc302ce619,c39b8dad44cc9acc0c550873bb6afca1f8c581f6428e4ac3f9bfd4c61c92a125,2f892c40b24aef860813841a3a29e11923b0f4ad2cf4b71886c0d57946d299a4,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.109375,37,0.3854166666666667,0,0,0.7569068391593067,0.0
N192_M96,all_zero,20260826,14,cf16711cc7156b285642785d01fdf1282335d7fbfed73af009d98f5cbee377f0,7f7140ab03d705303fc594991526d55038bf5630b5396b65602d17a4b0130354,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.53125,0,0.0,1,0,-0.11414388442035261,0.5677083333333334
N192_M96,random,20260826,14,cf16711cc7156b285642785d01fdf1282335d7fbfed73af009d98f5cbee377f0,7f7140ab03d705303fc594991526d55038bf5630b5396b65602d17a4b0130354,b0b097730b271e409b02a95416c1cfa6e128739f03f373cd5123114f82dd2b7b,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5260416666666666,45,0.46875,0,0,-0.04093352661002849,0.5104166666666666
N192_M96,channel_hard,20260826,14,cf16711cc7156b285642785d01fdf1282335d7fbfed73af009d98f5cbee377f0,7f7140ab03d705303fc594991526d55038bf5630b5396b65602d17a4b0130354,1867b904f9c0baf3cc2e00da54ea8c545ac844a564b3894e354d256e209a0919,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.078125,33,0.34375,0,0,0.8041808900571784,0.0
N192_M96,all_zero,20260826,15,f97ccdc4d1d919e21e3770f99d82513241309a9debe453d4f736e957acbed266,62b41f1bfa01229b974d63ac13974f47f28aa7496c3de685d75953307f92bf2a,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.46875,0,0.0,1,0,0.044929487501421846,0.4635416666666667
N192_M96,random,20260826,15,f97ccdc4d1d919e21e3770f99d82513241309a9debe453d4f736e957acbed266,62b41f1bfa01229b974d63ac13974f47f28aa7496c3de685d75953307f92bf2a,95519ad7b48593c9bbf6ac992b845d2f9b203387cd3002951adb1ad007b7e27f,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5625,50,0.5208333333333334,0,0,-0.09574038268691092,0.5364583333333334
N192_M96,channel_hard,20260826,15,f97ccdc4d1d919e21e3770f99d82513241309a9debe453d4f736e957acbed266,62b41f1bfa01229b974d63ac13974f47f28aa7496c3de685d75953307f92bf2a,efccc4cd40c0451ee1c7381091647799d450ac5c13381e87c0fdbe684ea5d6b4,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.09895833333333333,35,0.3645833333333333,0,0,0.7841502107977284,0.0
N192_M96,all_zero,20260826,16,542f7331199acdd5decc3d464e12a65a39c38968470cd3b95cac5e48c705bbfd,de2ef8a8b00c3d02db58036ae330b73f3f4fac2608f4beafcd3bf08419aae755,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.46875,0,0.0,1,0,0.03139799665715559,0.4635416666666667
N192_M96,random,20260826,16,542f7331199acdd5decc3d464e12a65a39c38968470cd3b95cac5e48c705bbfd,de2ef8a8b00c3d02db58036ae330b73f3f4fac2608f4beafcd3bf08419aae755,11846f6efb405f4b2c9f5978cbf3f2a3becb3f15629f116129133eb88667abd9,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4947916666666667,49,0.5104166666666666,0,0,-0.005582780521387026,0.5104166666666666
N192_M96,channel_hard,20260826,16,542f7331199acdd5decc3d464e12a65a39c38968470cd3b95cac5e48c705bbfd,de2ef8a8b00c3d02db58036ae330b73f3f4fac2608f4beafcd3bf08419aae755,01da55b70e656c328ebbe8faa0ce289f7f8f00c5b04968a517440d9cf604c0e5,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.09895833333333333,35,0.3645833333333333,0,0,0.7419581011222025,0.0
N192_M96,all_zero,20260826,17,2ad7860c0519b4d76acd6d50c1029583a483b0eb911e1dee8ee121db72d5481d,a7f205e9f92d6c4bc7e68bd69401d2051ab75776f267bc73bef99ef20fe1fd08,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4583333333333333,0,0.0,1,0,0.07777084366800639,0.4583333333333333
N192_M96,random,20260826,17,2ad7860c0519b4d76acd6d50c1029583a483b0eb911e1dee8ee121db72d5481d,a7f205e9f92d6c4bc7e68bd69401d2051ab75776f267bc73bef99ef20fe1fd08,ec63ecc44db7d95e2d753bf0520b2c4d47b33f7165b6ce80699280f578526f97,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4947916666666667,57,0.59375,0,0,-0.026172765157866137,0.5052083333333334
N192_M96,channel_hard,20260826,17,2ad7860c0519b4d76acd6d50c1029583a483b0eb911e1dee8ee121db72d5481d,a7f205e9f92d6c4bc7e68bd69401d2051ab75776f267bc73bef99ef20fe1fd08,caa44501c69957b477c580b31c8885abc2909fed23ffb7898eded1a035d9a451,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.125,48,0.5,0,0,0.7618811568493294,0.0
N192_M96,all_zero,20260826,18,65781545e0421cf4a84b1058a542a69dddadf67a3e79935ab38496801ef4f63a,f54d8533e903e6df6457cbdec53561fe2311b66ce574534d831eb51f8356463c,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4791666666666667,0,0.0,1,0,0.06448819409285657,0.46875
N192_M96,random,20260826,18,65781545e0421cf4a84b1058a542a69dddadf67a3e79935ab38496801ef4f63a,f54d8533e903e6df6457cbdec53561fe2311b66ce574534d831eb51f8356463c,59a53b3858adbd354cab5c0ca3565a6d3dd2b72aea14e6dd14dfca556c528dcd,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.515625,45,0.46875,0,0,0.02174673750521426,0.484375
N192_M96,channel_hard,20260826,18,65781545e0421cf4a84b1058a542a69dddadf67a3e79935ab38496801ef4f63a,f54d8533e903e6df6457cbdec53561fe2311b66ce574534d831eb51f8356463c,d3b47bd1274cc619db189324db08f031d55d6ee972b20ccc8d8794260ff83fc6,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.08333333333333333,32,0.3333333333333333,0,0,0.7822033465062725,0.0
N192_M96,all_zero,20260826,19,b8f767b75d179136af5ee6e003557b3040ee599cca8ac7f4733391ba4c88ee8e,a30c0ad147f07cacc772dc4ddbaec54f2ad9df1e21c3268a7d84b8110336bcff,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.46875,0,0.0,1,0,0.008542341640588714,0.5260416666666666
