stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,39,137000039,3000,0,0,0,0.0,0.0,0.0,1,1020,1020,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,40,137000040,3000,1,1,1,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0,1061,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,41,137000041,3000,0,0,0,0.0,0.0,0.0,1,374,374,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,42,137000042,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,198,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,43,137000043,3000,0,0,0,0.0,0.0,0.0,1,1369,1369,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,44,137000044,3000,0,0,0,0.0,0.0,0.0,1,1479,1479,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,45,137000045,3000,0,0,0,0.0,0.0,0.0,1,245,245,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,46,137000046,3000,0,0,0,0.0,0.0,0.0,1,491,491,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,47,137000047,3000,0,0,0,0.0,0.0,0.0,1,312,312,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,48,137000048,3000,0,0,0,0.0,0.0,0.0,1,874,874,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,49,137000049,3000,0,0,0,0.0,0.0,0.0,1,2159,2159,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,50,137000050,3000,0,0,0,0.0,0.0,0.0,1,1074,1074,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,51,137000051,3000,0,0,0,0.0,0.0,0.0,1,2286,2286,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,52,137000052,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,484,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,53,137000053,3000,0,0,0,0.0,0.0,0.0,1,943,943,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,54,137000054,3000,0,0,0,0.0,0.0,0.0,1,2344,2344,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,55,137000055,3000,1,1,8,0.0016666666666666668,0.0016666666666666668,0.013333333333333334,0,1113,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,56,137000056,3000,0,0,0,0.0,0.0,0.0,1,829,829,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,57,137000057,3000,0,0,0,0.0,0.0,0.0,1,340,340,0.0,0.0
