stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,n_variables,n_clauses,kw,rho,n_trials,n_cycles,mean_selected_unsat,mean_selected_unsat_rate,mean_best_unsat,mean_best_unsat_rate,mean_final_unsat,mean_final_unsat_rate,best_trial_unsat,best_trial_unsat_rate,success_rate_sat,mean_convergence_cycle,mean_first_hit_cycle_successful,formula_objective
A,1.2,5,11715,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,500,600,4.0,0.02,100,3000,0.7,0.0011666666666666665,0.7,0.0011666666666666665,4.23,0.007050000000000001,0,0.0,0.3,683.99,1117.7333333333333,-0.028605336666666665
A,1.2,6,13718,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,500,600,4.0,0.02,100,3000,0.32,0.0005333333333333334,0.32,0.0005333333333333334,1.87,0.003116666666666667,0,0.0,0.68,992.73,1271.9117647058824,-0.06713575666666667
A,1.2,7,15721,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,500,600,4.0,0.02,100,3000,3.76,0.006266666666666666,3.76,0.006266666666666666,8.42,0.014033333333333333,3,0.005,,649.79,,0.007733263333333333
A,1.2,8,17724,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,500,600,4.0,0.02,100,3000,0.45,0.00075,0.45,0.00075,2.87,0.004783333333333334,0,0.0,0.56,1110.68,1392.4285714285713,-0.05487977333333334
A,1.2,9,19727,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,500,600,4.0,0.02,100,3000,1.39,0.0023166666666666665,1.39,0.0023166666666666665,6.72,0.0112,1,0.0016666666666666668,,1224.05,,0.00314135
A,1.2,10,21730,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,500,600,4.0,0.02,100,3000,3.14,0.005233333333333334,3.14,0.005233333333333334,8.36,0.013933333333333332,2,0.0033333333333333335,,953.22,,0.006384406666666668
A,1.2,11,23733,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,False,500,600,4.0,0.02,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,6.26,0.010433333333333333,1,0.0016666666666666668,,517.58,,0.00225586
A,1.2,12,25736,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,True,500,600,4.0,0.02,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,322.03,322.03,-0.09989265666666668
A,1.2,13,27739,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,False,500,600,4.0,0.02,100,3000,2.47,0.004116666666666667,2.47,0.004116666666666667,7.12,0.011866666666666666,2,0.0033333333333333335,,638.28,,0.005162760000000001
A,1.2,14,29742,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,False,500,600,4.0,0.02,100,3000,1.79,0.0029833333333333335,1.79,0.0029833333333333335,6.9,0.0115,1,0.0016666666666666668,,497.21,,0.003565736666666667
A,1.2,15,31745,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,False,500,600,4.0,0.02,100,3000,1.14,0.0018999999999999998,1.14,0.0018999999999999998,6.07,0.010116666666666668,1,0.0016666666666666668,,905.23,,0.00261841
A,1.2,16,33748,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,True,500,600,4.0,0.02,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,5.57,0.009283333333333334,1,0.0016666666666666668,0.0,419.02,,0.0022230066666666668
A,1.2,17,35751,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,False,500,600,4.0,0.02,100,3000,2.0,0.0033333333333333335,2.0,0.0033333333333333335,6.73,0.011216666666666668,2,0.0033333333333333335,,500.9,,0.004333633333333333
A,1.2,18,37754,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,False,500,600,4.0,0.02,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,6.02,0.010033333333333333,1,0.0016666666666666668,,309.93,,0.0021866433333333334
A,1.2,19,39757,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,True,500,600,4.0,0.02,100,3000,0.74,0.0012333333333333332,0.74,0.0012333333333333332,4.37,0.0072833333333333335,0,0.0,0.33,1196.65,1676.5454545454545,-0.03136778333333333
A,1.2,20,41760,c5841a04765dfc844d644a881f22c1ab9b87ad797f42f244210a24d2b49b2246,True,500,600,4.0,0.02,100,3000,0.03,4.9999999999999996e-05,0.03,4.9999999999999996e-05,0.18,0.0003,0,0.0,0.97,655.05,671.5360824742268,-0.09673165
A,1.2,21,43763,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,500,600,4.0,0.02,100,3000,0.96,0.0015999999999999999,0.96,0.0015999999999999999,5.9,0.009833333333333335,0,0.0,0.04,538.46,1027.5,-0.0022205133333333335
A,1.2,22,45766,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,500,600,4.0,0.02,100,3000,2.26,0.0037666666666666664,2.26,0.0037666666666666664,7.25,0.012083333333333333,2,0.0033333333333333335,,913.07,,0.004904356666666667
A,1.2,23,47769,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,500,600,4.0,0.02,100,3000,0.98,0.0016333333333333332,0.98,0.0016333333333333332,5.91,0.00985,0,0.0,0.02,543.38,2259.0,-0.00018554000000000018
A,1.2,24,49772,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,500,600,4.0,0.02,100,3000,1.26,0.0021,1.26,0.0021,6.76,0.011266666666666666,1,0.0016666666666666668,,1203.96,,0.0029179866666666668
